CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
8,Albania,,,,,,,,,,,,,,,,,,,,,,
12,Algeria,,,,,,,,,,,,,,,,,,,,-1.12,0.51,
16,American Samoa,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,,,,,,,,,,,,,,,,,,,,,,
533,Aruba,,,,,,,,,,,,,,,,,,,,,,
36,Australia,,2.03,0.95,3.54,0.88,0.02,2.69,2.81,2.23,3.23,1.23,0.79,1.86,0.82,2.24,-0.28,0.44,0.65,0.93,0.63,-0.35,0.23
40,Austria,,1.61,0.22,-0.28,0.2,2.24,3.95,2.19,3.62,2.35,3.2,0.16,0.32,0.03,3.95,0.25,0.93,1.14,-0.1,-3.5,1.59,1.52
31,Azerbaijan,,,,,,,,,,,,,,10.59,8.4,25.05,30.34,23.77,9.65,3.78,3.61,-0.07
44,Bahamas,,,-4.08,-5.54,0.83,2.05,2.36,-2.08,-1.89,6.41,,,3.12,,,,,,,5.46,,
48,Bahrain,,9.06,-0.39,5.87,-4.43,3.35,2.69,-3.01,0.19,-2.95,-0.47,-0.83,-4.42,-3.89,-14.82,,,,,,,
50,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
52,Barbados,,0.73,0.26,1.73,-5.98,-2.57,-3.35,4.68,2.46,0.25,-2.92,-6.41,-1.85,1.33,1.66,,,,,,,
56,Belgium,,-0.73,0.14,-0.26,3.11,1.18,1.48,2.46,1.43,0.15,0.33,2.84,0.58,0.79,1.56,-0.57,1.98,0.15,-0.51,-2.22,0.87,1.32
84,Belize,,,,,-0.4,,,-4.74,-0.02,,,,,,,,0.89,-7.33,1.11,,,
204,Benin,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,,,,,,,,,,,,,,,,,20.02,,,,8.98,4.63
68,Bolivia,,,,,,,,,,,9.74,-2.1,2.52,-6.58,4.17,2.85,-1.36,,,0.12,,
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,1.94,0.68,0.59,2.71,5.08
72,Botswana,,,,,,,,,,,,11.43,,,,,,,,,,
76,Brazil,,,,2.82,,,4.72,1.27,-0.87,-2.14,,,-1.21,-0.54,0.24,0.45,1.48,4.53,1.97,-0.72,,
96,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,,,,,,,,,5.74,6.43,6.99,8.61,3.03,2.73,3.33,5.97,2.11,1.74,2.78,-2.39,7,5.26
854,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,
108,Burundi,,,,,,,,,,,,,,,,,,,,,,
116,Cambodia,,,,,,,,,,,,-5.81,,,,,,,,-7.09,3.12,4.14
120,Cameroon,,,,,,,,,,,,,,,,,,,,,,
124,Canada,,-0.35,1.88,1.84,2.67,0.98,0.67,2.04,1.59,2.93,2.68,0.55,0.52,-0.49,1.44,1.72,1.04,-0.21,-0.97,-1.18,1.83,0.89
