CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
4,Afghanistan,,,,,,,,,,,,,,,,38,,,,,
8,Albania,,,,,,,,0,,,,,0,,0,0.6,,,0,,
12,Algeria,,,,,,3.9,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,50.1,,,,,,,,,,
32,Argentina,,,0,,,,1.1,,1.2,,,,7,,,3.2,2.2,,,0.6,
51,Armenia,,,,,,,9.7,,,9.8,,5.9,8,5.6,3.9,,,,0.7,,
31,Azerbaijan,,,,,,12.5,,,,,,4.7,,,,,,,0.7,,
50,Bangladesh,,,55.9,,,,51.4,,,,56.1,,,,,50.1,,,,,
112,Belarus,,,,0,,0,,,0.6,,0,0,0,,0,0,,,0,,
84,Belize,,,,,,10.7,,,,9.4,,,,,,,,,,,
204,Benin,,,,,,,,,,,,,,43.6,,,,,,,
64,Bhutan,,,,,,,,,,,,,,26.9,,,,,,,
68,Bolivia,,,,,,,,,,25.3,,,21.9,,,18.6,,12.9,,,
70,Bosnia and Herzegovina,,,,,,,,,,,,0,,,0,,,0,,,
72,Botswana,,,,,24,,,,,,,,,,,,,,,,
76,Brazil,,,7.3,7.1,,5.7,6.1,6.4,5.9,5.9,,5.8,5.2,5.5,6.2,4.1,,2.7,2.2,2,
854,Burkina Faso,,,,,71.7,,,,69.6,,,,,55.5,,,,,,,
108,Burundi,,,80.7,,,,,,85.3,,,,,,,,75.8,,,,
116,Cambodia,,,,,50.5,,,,,,,,,,37,,,25.1,,,
120,Cameroon,,,,,,,49.4,,,,,31,,,,,,,,,
132,Cape Verde,,,,,,,,,,,,16,,,,,,,,,
140,Central African Republic,,,78.6,,,,,,,,,,,58.7,,,,,58.6,,
148,Chad,,,,,,,,,,,,,,58.7,,,,,,,
152,Chile,,,,,1.9,,0,,0,,0.7,,,0.8,,,0,,,0,
170,Colombia,,,,,,9.2,10.7,,12.5,13.6,13.2,,,12.2,,,12.6,,,,
174,Comoros,,,,,,,,,,,,,,,42,,,,,,
178,Congo,,,,,,,,,,,,,,,,52.4,,,,,
188,Costa Rica,,,6.4,5.9,,,5.2,3.3,2.9,,3.2,2.6,,3.5,,1.7,,,,0,
384,Cote d'Ivoire,,,,18,,21.3,,,23.9,,,,23.3,,,,,,23.8,,
191,Croatia,,,,,,,,,0,0,0,0,,,0,,,,0,,
