CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
12,Algeria,,,,,,,,,,,,30.8,,29.1,34.9,34.4,,,,,,
660,Anguilla,,,,,,,,,,,,7.8,,,,,,,,,,
28,Antigua and Barbuda,,14.6,,,,,,,,,,8.1,,,,,,,,,,
51,Armenia,,,,,,,,,,,,,,,,,,35.7,37.8,,,
533,Aruba,,3.9,,,,,,,,,4.1,,,,,,,4.4,,,,
36,Australia,10.3,11,11.6,11.9,11.4,11,10.9,11,10.5,10.5,10.4,10.2,10.5,10.2,10,9.8,9.5,9.3,9,,,
40,Austria,,,,,,9.4,9.5,8.9,8.7,8.7,8.5,8.5,8.3,7.9,8.5,8.5,8.5,9.2,9,8.7,9,8.9
31,Azerbaijan,,,,,,,,,,,,,,62.4,62,62.6,56.5,53.2,54.7,,,
44,Bahamas,,,,,,,,,14.8,15.9,,,,,,,,,,,,
48,Bahrain,,,,,,,,,,,,,2.3,2.2,2,2.2,2.2,2.1,2,2,2,
50,Bangladesh,,,,,,,69.4,,,,68.9,,,83.1,,85,,,,,,
52,Barbados,11.7,11.8,12.4,13.2,12.3,12.3,12.4,11.6,11.9,13.7,12.5,13.4,13.7,13.6,14,,,,,,,
56,Belgium,17.3,15.9,16.3,15.8,16.1,16,16.1,15.8,15.6,12.8,11.5,10.7,11.4,11,10.2,10.6,10.4,10.3,10,10.3,9.9,10.2
84,Belize,,,,,,25.5,26.6,,,,,,,,,23.5,,,,,,
204,Benin,,,,,,,,,,,,,,89.9,,,,,,,,
64,Bhutan,,,,,,,,,,,,,,,,,68,,,74.2,68.8,70.9
68,Bolivia,,,,,,,,,,66,66.1,64.9,63.7,59.2,59.2,60,61,57,57.1,54.9,,
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,27.2,26.6,25.2
72,Botswana,,,,,32.1,,,,,,,,,,,,35.8,,,,,
76,Brazil,29.3,,35.6,35.4,,35.8,34.6,,,,27.4,33.7,33.8,33.7,33,28.4,27.2,27,25.2,25.1,,
92,British Virgin Islands,,7,,,,,,,,,,,,,,,,,,,,
96,Brunei Darussalam,,4.1,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,,,,,,,,,,,14,11.5,11.7,12.3,12,10.2,9.2,8.4,8.7,9,9,8.5
854,Burkina Faso,,,,,95.2,,,,,,,,,94.3,,,89.6,,,,,
108,Burundi,,,,,,,,,94.2,,,,,,94.6,,,,,,,
116,Cambodia,,,,,,,,,,,84.5,83.5,,,86.7,,,,82.5,72.7,69.8,68.5
120,Cameroon,,,,,,,80.1,,,,,75.9,,,,79.8,,,,,76.4,
132,Cape Verde,,,,,,,,,,,39.6,,,,,,,,,,,
148,Chad,,,,93.7,,,,,,,,,,,,,,,,,,
152,Chile,,,,,,,26.8,26.4,27.8,27.5,27.6,28.4,28.7,28.9,28.7,27,26,24.8,24.4,,,
344,"China, Hong Kong Special Administrative Region",,,,5.5,5.3,5.4,5.3,5,5.2,5.7,5.7,6.8,7.8,7.7,7.7,7.7,7.8,7.2,7.4,7.4,6.3,6.5
446,"China, Macao Special Administrative Region",,,,,,,7.3,6.4,6.3,7.3,8.4,7.8,7,7.5,8.1,6.4,5.5,5.2,4.6,4.8,4.8,4.4
170,Colombia,,,,,,,,,,,43.4,47.1,46.4,44.7,45.5,45.4,43.7,41.3,46.9,47.2,48.6,
178,Congo,,,,,,,,,,,,,,,,75.1,,,,,,
188,Costa Rica,24.7,25.5,23.3,23.2,21.4,22.5,21.7,22.7,21.2,20.9,23.5,23.2,23.8,21.9,23.1,21.1,21.6,19.7,19.6,20.1,20.4,20.2
384,Cote d'Ivoire,,,,,,,,,,,,,75.8,,,,,,,,,
191,Croatia,,,,,,,23.5,21,19.4,19.8,18.8,19.2,18.6,19.4,18.3,19.9,17.9,16.2,16.3,16.6,17.8,18
