CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan, ,,,,,,,,,,,,,,,,,,,,,,
8,Albania, ,,,,,,,,,,,,,,,,,,,,,,
12,Algeria, ,5.5,5.2,5.2,5.7,6.3,6.7,6.9,6.8,6.6,6.3,6.1,5.5,5.2,5.2,5,0,0,0,0,0,0,0
16,American Samoa, ,,,,,,,,,,,,,,,,,,,,,,
20,Andorra, ,,,,,,,,,,,,,,,,,,,,,,
24,Angola, ,63.2,65.2,64.3,62.8,58.6,56.3,54.6,52.7,50.8,49,47.4,46,43.5,40.9,37.9,34.8,33.5,32.4,31.4,29.5,26.7,24.4
660,Anguilla, ,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda, ,15.9,17.6,22.2,28.8,32.6,34.5,34.5,35.3,36.1,38.5,42,45.2,44.4,38.8,33.1,28.1,26.7,25.1,23.2,20.8,17.2,13.9
32,Argentina, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Armenia, ,,,24,24,22.6,21.3,21,20.7,21.2,21.5,20.2,16.7,12.5,9.2,6.9,5.3,0,0,0,0,0,0
533,Aruba, ,,,,,,,,,,,,,,,,,,,,,,
36,Australia, ,,,,,,,,,,,,,,,,,,,,,,
40,Austria, ,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan, ,,,23.8,23.8,26.6,28.7,28.8,26.8,20.9,14.9,10.1,7.4,0,0,0,0,0,0,0,0,0,0
44,Bahamas, ,9.5,12.8,15.1,14.6,12.9,10.2,9.5,8.2,7.4,6.2,6,6.5,7.1,7.5,7.9,8,8.2,7.9,7.5,6.9,6.3,5.6
48,Bahrain, ,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh, ,33.9,36,38.1,38.6,36.7,33.4,29.7,24.6,20.9,18,17.2,16.2,15.8,15.3,15.3,15.1,15.4,15.2,15.5,15.1,15.7,16.3
52,Barbados, ,0,0,0,0,0,0,0,0,0,0,5,0,5.7,5.6,5.9,0,0,0,0,0,0,0
112,Belarus, ,,,,,,,,,,,,,,,,,,,,,,
56,Belgium, ,,,,,,,,,,,,,,,,,,,,,,
84,Belize, ,9.6,8.7,8.4,9,9.8,9.9,10.3,10.3,9.9,9.2,8.1,7.3,6.9,6.6,6.6,6.6,7.2,7.6,7.9,7.5,6.8,6.4
204,Benin, ,22.4,21.9,22.1,21,19.6,18.6,18.1,17.9,17.8,17.8,16.7,15.2,14.3,13.7,13.8,13.1,12.7,12.1,10.9,9.7,7.7,6.1
60,Bermuda, ,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan, ,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia, ,33.9,32.2,33.6,31.8,31,29,32.7,33,32.7,29.9,28.6,28.1,29.2,29.6,29.9,29.1,29.4,29.1,28.1,26.1,23.9,21.3
70,Bosnia and Herzegovina, ,,,,,,,,,,,,,,,,,,,,,,
72,Botswana, ,25.1,28.9,30.1,30.8,28.2,29.2,32.2,34.7,36.3,35,35.2,34.7,34,32.6,32.6,33.3,33.5,33.5,32.1,30.8,27.8,25.7
76,Brazil, ,15,14.7,14.5,14.3,13.9,13.7,13.4,13.3,13.2,12.9,12.5,11.2,10,9.1,8.9,8.9,8.4,8.1,7.5,7.1,6.8,6.9
92,British Virgin Islands, ,,,,,,,,,,,,,,,,,,,,,,
96,Brunei Darussalam, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Bulgaria, ,,,,,,,,,,,,,,,,,,,,,,
854,Burkina Faso, ,22.9,20.6,18.7,18.3,18.3,19.2,21.1,22.8,25.3,26.5,27.5,27.1,26.7,26.4,25.8,25.3,25,24.7,23.9,24.5,24.4,25
108,Burundi, ,44.4,46.5,51.3,55.7,57.9,57.4,57.7,59.1,61.3,62.1,62.3,62.7,63.9,66.3,68.5,69.7,69.7,69.6,69.5,69.2,68.6,67.3
116,Cambodia, ,39.4,36.8,35.5,34.8,37.6,41.1,43,40.5,35.8,33.6,32.3,32.5,32.3,30.4,27.7,24.2,22.6,21.8,20.8,19.1,17.1,15.4
120,Cameroon, ,38.3,38.7,38.2,39.7,39.4,37.6,36,33.7,33.2,31.7,29.7,26.6,24.5,23,21.4,19.9,17.8,17,15.2,14.9,13.5,13.3
124,Canada, ,,,,,,,,,,,,,,,,,,,,,,
132,Cape Verde, ,13.6,12.9,10.9,11.5,15.1,16.3,17.6,15.3,15.8,16.7,17.9,17,15,12.9,12.2,11.8,11.1,10.9,10.4,11.3,10.2,9.6
136,Cayman Islands, ,,,,,,,,,,,,,,,,,,,,,,
140,Central African Republic, ,48.5,49.7,51,52,51.8,51.3,49.1,48,46.2,46,44.7,44.9,44.9,44.2,43.1,40.9,38.5,34.6,33,30.9,30.1,28.2
148,Chad, ,3.7,60.2,55.6,55.9,51.8,53.2,47.2,42.9,41.6,41.7,41.8,39.7,39.3,37.9,38,38,38.4,39.3,37.2,34.7,30.8,29.4
152,Chile, ,9,7.6,6.3,6.1,5.8,5.7,5.5,5.5,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0
