CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,0.55,0.55,,0.35,0.5,0.51,,,,0.08,0,0,0.46,0.57,0.44,0.59,0.63,0.63,0.65,0.67,0.69,0.71,
8,Albania,1,1.01,1.03,1.05,1.01,0.99,0.99,0.99,0.98,0.98,0.98,0.99,0.96,0.98,,,,,,,,,
12,Algeria,0.84,0.85,0.86,0.87,0.88,0.89,0.89,0.9,,0.91,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.94,0.94,0.94,0.94,0.94,
16,American Samoa,,1.02,,,,,,,,,,,,,,,,,,,,,
24,Angola,0.92,0.91,0.86,,,,,,0.83,,,,,,,,,,0.86,0.85,0.81,,
660,Anguilla,,,,0.95,,,,,,,1.04,0.98,0.98,1.01,1.03,1.06,0.99,0.98,1,,,,
28,Antigua and Barbuda,,,0.95,,,,,,,,,,,,,,,0.95,0.94,0.95,0.92,0.93,
32,Argentina,0.99,,,,,,0.99,1,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,,
51,Armenia,,,,,1.04,,,,,,,,1.01,1.01,1.02,1.03,1.03,1.02,1.02,1.03,1.02,,
533,Aruba,,,,,,,,,,0.98,0.97,0.97,0.95,0.93,0.92,0.94,0.96,0.95,0.95,0.96,0.97,0.95,
36,Australia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,,
40,Austria,1,1,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,0.99,0.99,0.99,0.99,0.99,0.99,
31,Azerbaijan,,0.99,1,0.99,0.95,1.11,1.07,0.97,0.98,1,0.98,0.98,0.98,0.94,0.96,0.95,0.94,1,0.99,0.99,0.99,0.98,
44,Bahamas,,,1.01,1.02,,1.01,,1.25,,0.97,0.97,,1,,0.99,0.99,0.99,0.99,0.99,1.03,1.02,,
48,Bahrain,1.03,1.01,1.01,1.02,1.02,1.01,1,0.99,1,1,1,0.99,0.97,0.96,0.96,0.96,0.99,,,,,,
50,Bangladesh,0.84,,,,,,,,,,,,,,,,,,,,,,
52,Barbados,0.98,,1.01,,,,,,,1.04,1.05,1.06,1.07,1.06,1.06,1.07,1.05,1.07,1.05,1.04,1.02,0.98,
112,Belarus,,,,1,0.99,0.97,0.97,0.96,0.96,0.99,0.99,0.99,0.99,0.99,0.97,0.97,0.98,0.99,1,1,1,1,
56,Belgium,1.01,1.01,1.01,0.99,0.99,0.99,0.99,,,0.99,1,0.99,0.99,0.99,1,1,0.99,1,1,1,1,,
84,Belize,,0.92,0.93,0.93,0.93,0.93,0.93,0.93,,0.91,0.89,0.88,0.87,0.87,0.87,0.86,0.87,0.88,0.88,0.89,0.91,0.92,
204,Benin,0.5,0.49,0.49,0.5,0.53,0.55,0.56,0.58,0.61,0.64,0.66,0.67,0.69,0.71,0.74,0.76,0.79,,0.83,0.85,0.87,0.87,
60,Bermuda,,,,,,1,,1,,,,1.01,1.04,1.04,1.06,1.05,1.07,,,,1,0.98,
64,Bhutan,,,,0.76,0.77,,,,0.83,0.85,0.87,0.89,0.91,,,0.97,0.98,,1.01,1.02,1.02,1.01,1.01
68,Bolivia,0.93,,,,,,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,1,,1,1,0.99,0.99,0.99,,
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,1.02,1.01,1.02,1.02,1.01,
72,Botswana,1.07,1.07,1.05,1.04,1.03,1.01,1.01,1.01,1,1,1,1,0.99,0.99,0.98,0.99,0.98,0.97,0.97,0.96,,,
76,Brazil,,,,,,,,,,0.94,0.94,0.94,0.94,0.94,0.94,0.94,,,,,,,
92,British Virgin Islands,,,,,,,,,,0.97,1,1,0.98,0.94,0.96,0.96,0.97,0.96,,0.96,0.94,,
96,Brunei Darussalam,,0.96,0.97,0.98,0.98,0.96,0.97,0.96,0.96,0.95,0.97,0.98,0.99,1,1,1,0.99,0.99,1,1.01,1.01,1.01,
100,Bulgaria,0.98,0.98,0.98,0.98,1,0.99,0.98,0.98,0.97,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,1,1,1,,
854,Burkina Faso,0.63,0.64,0.65,0.66,0.66,0.66,0.67,,0.69,0.7,0.71,0.73,0.74,0.75,0.79,0.8,0.82,0.84,0.87,0.89,0.91,0.93,0.95
108,Burundi,0.8,0.84,0.82,0.82,,,,,0.81,0.81,0.8,0.8,0.78,0.8,0.83,0.86,0.91,0.93,0.95,0.97,0.99,1,
116,Cambodia,,,,,0.83,0.82,,0.83,0.84,0.87,0.87,0.89,0.9,0.91,0.92,0.93,0.93,0.93,0.94,0.94,0.95,0.95,
120,Cameroon,0.86,0.86,0.92,,0.9,0.9,0.86,0.87,0.83,0.82,0.85,0.87,0.86,0.85,0.85,0.84,0.84,0.86,0.86,0.86,0.86,0.87,
124,Canada,0.99,0.98,0.99,0.99,0.99,0.99,0.99,,1,1,1,,,,0.99,0.99,0.99,0.99,1,1,,,
132,Cape Verde,0.97,,,,0.97,,,,0.96,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.92,0.92,0.92,
136,Cayman Islands,,,,,,,,,,0.93,1.06,1.01,1.03,,0.99,0.99,0.97,0.98,0.97,,,1.07,
140,Central African Republic,0.63,0.64,0.66,,,,,,,,,0.68,0.67,0.69,0.66,0.69,0.69,0.7,0.7,0.71,0.71,0.73,
148,Chad,0.44,0.45,0.47,0.47,0.48,0.48,0.49,0.52,0.55,0.58,0.61,0.64,0.65,0.66,0.66,0.68,0.68,0.7,0.7,0.71,0.73,0.75,
152,Chile,0.98,0.98,0.98,0.98,,,,,0.97,0.97,0.98,,0.98,0.97,0.95,0.96,0.95,0.95,0.95,0.95,0.97,0.97,
156,China,0.9,0.91,0.93,0.93,0.94,0.96,0.98,0.99,1,,,1.03,1.03,1.03,,,1.04,1.03,1.03,1.03,1.03,1.04,
344,"China, Hong Kong Special Administrative Region",,,,,,1,0.99,,0.98,0.97,0.97,0.98,0.98,0.99,0.98,0.98,0.98,0.99,0.99,1.01,1.02,1.04,
446,"China, Macao Special Administrative Region",0.95,0.96,0.96,0.96,,,,,,0.99,0.99,0.99,0.96,0.95,0.95,0.96,0.98,0.97,0.98,,,,
170,Colombia,1.15,1.02,1.06,1.02,0.99,0.99,1,,0.97,1,1,0.99,0.99,,0.99,0.98,0.98,0.99,0.99,1,0.98,0.96,
174,Comoros,0.7,0.73,0.84,0.87,0.82,,,,,0.85,0.85,0.83,0.82,0.82,0.88,0.88,,0.9,0.92,,,0.85,
178,Congo,0.94,0.92,0.94,0.94,0.94,0.86,0.94,,0.91,0.97,0.93,0.95,0.95,0.94,0.94,0.94,0.91,0.94,0.94,0.94,0.95,0.95,
184,Cook Islands,,,,,,,,,1,0.95,1.01,0.96,0.96,0.97,,1.03,,0.99,,1.07,1.02,1.03,
188,Costa Rica,0.99,0.99,0.99,0.99,1,1,1,0.99,0.99,0.99,0.98,0.99,0.98,0.98,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,
384,Cote d'Ivoire,0.71,0.71,0.72,0.72,0.72,0.73,0.73,0.74,0.75,0.74,0.75,0.76,0.74,0.8,,,0.79,0.79,0.79,0.81,,0.83,
