CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,,0.51,,0.38,0.28,0.37,,,,,,0,,0.35,0.21,0.33,0.37,0.38,0.43,0.49,0.51,0.55
8,Albania,0.91,0.92,1.01,1.05,1.01,0.98,0.97,0.96,,0.95,0.95,0.96,,,,,,,,,,
12,Algeria,0.77,0.79,0.82,0.84,0.86,0.89,0.9,0.96,,1.01,1.05,1.07,1.07,1.09,1.09,1.1,1.1,1.09,1.04,1.02,1.04,1.04
16,American Samoa,,1.05,,,,,,,,,,,,,,,,,,,,
20,Andorra,,,,,,,,,,,,,1.06,1.08,1.08,1.11,1.1,1.08,1.07,1.06,1.05,1.03
24,Angola,,,,,,,,,0.78,0.75,0.82,0.78,0.83,,,,,,0.77,0.77,0.69,
660,Anguilla,,,,1.19,,,,,,,0.98,1,1.01,0.99,1,0.97,1.02,1.02,0.95,,,
28,Antigua and Barbuda,,,1.03,,,,,,,,0.92,,,,,,,0.98,0.95,1,1.01,0.98
32,Argentina,,,,,,,1.11,1.1,1.06,1.05,1.05,1.03,1.03,1.07,1.1,1.11,1.12,1.13,1.14,1.12,1.11,
51,Armenia,,,,,,,,,,,,,1.06,1.03,1.01,1.02,1.03,1.04,1.04,1.02,1.02,
533,Aruba,,,,,,,,,,1.06,1.03,1.05,1.05,1.05,1,1,0.99,1.01,1.04,1.01,1.01,1.02
36,Australia,,,,1,1,1,1,1.03,1.04,1,1,0.98,0.97,0.97,0.96,0.99,0.98,0.98,0.98,0.96,0.95,
40,Austria,0.91,0.92,0.92,0.93,0.94,0.94,0.94,0.95,0.94,0.95,0.96,0.96,0.95,0.95,0.94,0.95,0.96,0.96,0.96,0.96,0.96,0.96
31,Azerbaijan,,1.01,0.99,0.96,0.94,1.03,1.05,1.09,,,,,,,,,,0.97,0.99,1.03,0.99,0.98
44,Bahamas,,,1.02,1.02,,1,,1.25,,0.99,1,,1.04,,0.99,0.99,1,1.03,1.02,1.02,1.05,
48,Bahrain,1.02,1.04,1.07,1.06,1.06,1.04,1.05,1.09,1.09,1.11,1.09,1.1,1.08,1.04,1.01,1.02,1.04,,,,,
50,Bangladesh,0.51,,,,,,,,0.94,0.99,1.03,1.09,1.11,1.11,1.04,1.08,1.07,1.07,1.14,1.09,1.14,1.17
52,Barbados,0.9,,,,,,,,,1.12,1.11,1.08,1.08,1.09,1.09,1.07,1.11,1.1,1.11,1.1,1.09,1.12
112,Belarus,1.04,,,,,,,,1.05,,,,,,,,,,0.97,0.97,0.97,0.97
56,Belgium,1.01,1.01,1.01,1.06,1.06,1.07,1.07,,,1.07,1.1,1.11,1.12,1.1,0.97,0.97,0.97,0.96,0.97,0.97,0.97,
84,Belize,,1,,,0.97,1,,,,1.07,1.05,1.05,1.02,1.02,,,,,,,,
204,Benin,,,,,,,,,,0.44,0.44,0.45,0.45,0.45,0.45,0.54,,,,,,0.6
60,Bermuda,,,,,,,,,,,,1.07,1.09,1.13,1.16,1.13,1.09,,,,1.18,1.18
64,Bhutan,,,,,,,,,0.78,0.8,0.82,0.85,,,,0.88,0.92,,0.94,1,1.01,1.04
68,Bolivia,,,,,,,,,0.93,0.93,0.96,0.96,0.96,0.97,,,0.96,0.97,0.98,,,
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,1.03,1.02,1.02,1.03,1.03
72,Botswana,1.11,1.18,1.16,1.14,1.1,1.1,,,1.09,1.07,1.05,1.05,1.06,1.05,1.05,1.05,1.06,1.05,1.06,,,
76,Brazil,,,,,,,,,,,,,1.1,1.1,1.1,1.1,,,,,,
92,British Virgin Islands,,,,,,,,,,0.91,1.04,1.03,1.02,1.16,1.06,1.18,1.13,1.11,,1.03,1.03,
96,Brunei Darussalam,,1.08,1.11,1.1,1.09,,,,1.09,1.09,1.06,1.04,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.02
