CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,,,,,,,,,,,,,19.2,17.8,18.5,25.9,18,17.6,18.4,,,
8,Albania,,,,,,,,,,29.2,28.9,26.9,31.6,33,,,,,,36.1,,
12,Algeria,,,,,,,,,,,,13.4,,14.2,14.5,14.7,15,16.8,15,15.3,15.1,
16,American Samoa,41.7,,,,,,,,,,,,,,,,,,,,,
20,Andorra,,,,,,,,,,,,,,45.6,45.7,45.8,46.1,46.6,46.8,47.3,,
24,Angola,,,,,,,23.5,,,,,,,,,,,,,,,
660,Anguilla,,,42.8,,,,,,,50.4,,47.7,48.8,,,,,,,,,
28,Antigua and Barbuda,,,,,,,,,,,,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,,,
32,Argentina,37.1,36.6,37.8,38.9,38.1,39.9,39.6,39.6,40.9,42.1,42.6,43.3,45.9,45.5,44.8,45.1,45,,44.1,44.6,43.9,43.6
51,Armenia,,,,,,,,,,,,,45,45,43.4,41.2,41.5,41.4,40.4,43.1,40.9,
533,Aruba,,44,,,43.4,,,,,,48.3,,,,,,,48.6,,,51.7,
36,Australia,43.7,44.5,44.3,44.7,44.7,45.2,45.2,45.3,45.5,45.8,46.3,46.9,46.7,47,46.7,47,47.1,47,47.1,47.5,47.2,47.2
40,Austria,41.5,41.7,42.4,42.7,42.8,42.6,42.7,43,43.2,43.5,43.7,44.2,44.9,45.5,46.2,46.6,46.6,46.3,47,47.8,47.8,47.6
31,Azerbaijan,,,,,,,,47.5,47.5,47.5,47.6,47,46.6,46.2,44.9,46.5,46.1,44.6,43.6,44,43.9,
44,Bahamas,,49.6,48.8,48.6,48.9,49.4,47.6,48.1,49.4,48.4,,49.8,49.7,50.1,50.4,50,49.7,48.8,49.2,50.2,,
48,Bahrain,12.3,12.7,14,15.5,16.6,,,17.1,,19.8,20,21.3,20.5,20.5,20.4,20.1,19.8,19.5,19.5,19.5,20.5,20.9
50,Bangladesh,,20.2,,,,,26.7,,,,24.7,,,21.6,,20.1,,,,,18.3,
52,Barbados,46.8,46.4,48.9,48.1,48,49.3,47.9,48.8,48,49,49.9,50.1,50,51.1,51.3,52,51.2,50.4,50.7,,,
112,Belarus,51.9,51.8,51.9,50.6,51.5,52.2,51.2,51.3,51.4,52.1,52.4,52.8,53,53.1,53,52.9,52.8,52.8,52.8,,52.1,
56,Belgium,38.7,39.7,40.6,41.2,41,41.2,41.4,42,42.4,43.4,43.4,43.4,43.9,44.4,44.7,45.3,45.7,46,46.6,47,47.2,47.5
84,Belize,,,,33.9,32.7,33,33.3,33.2,34.4,34.1,,35,34,,,36.5,35.9,37.7,,,,
204,Benin,,,20.7,,,,,,,,,,24.3,,,,,,,,25.9,
60,Bermuda,48.7,49.1,49.6,49.8,50.3,50.4,50.4,50.5,50.3,49.9,49.8,49.3,49.4,48.9,48.7,48.6,48.5,48.7,,53.7,52.4,
64,Bhutan,,,,,,,,,,,,,,,,,,,,31.4,,
68,Bolivia,35.2,34.8,34.2,36.8,35.3,35.9,36.9,36.1,,34.5,38.6,38.1,38.2,,36.1,37.7,42.4,38.1,,36.5,,
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,38.7,38.2,39.3,40.5,41,41.3
72,Botswana,33.5,33.4,36.6,,,38.4,38.6,39.1,38.8,40.5,42.9,41.1,42.4,40.8,39.5,42.6,43.6,43.4,,41.6,41.4,
76,Brazil,40.2,,42.8,43,,44.1,44.3,44.3,,,,,46.1,46.6,46.8,46.7,47,46.8,,47.2,,
92,British Virgin Islands,,,,,,49.9,50,50.1,50.3,50.7,49.8,49.9,50.2,50.4,49.3,49.1,,,,,,
96,Brunei Darussalam,,22.5,,,19.5,17.2,19,19.9,23.8,26.7,30.3,28.9,29,30.3,,,,,,,,
100,Bulgaria,,,,52.1,52.2,52.4,52.5,52.4,52.7,52.4,52.8,53.1,53.1,53.1,52.7,52.2,51.4,49.1,48.7,48.9,49.3,50.1
854,Burkina Faso,22.5,,,,,22.1,,23.1,,22.6,23.2,23.3,23.2,23.6,24.8,25.4,26.5,26.5,,,,
108,Burundi,14.3,,,,,,,,,,,,,,,,,,,,,
116,Cambodia,,,,,,,,,,,41.1,43.3,,,43.5,,,,,,,
120,Cameroon,,,,,,,19.2,,,,,22.2,,,,,,,,,26.4,
124,Canada,46.9,47.8,48,48.1,47.8,48,48,48.1,48.3,48.2,48.3,48.8,48.8,49.2,49.4,49.4,49.5,49.8,49.9,50.5,50.3,49.8
132,Cape Verde,,,,,,,,,,,38.9,,,,,,,,,,,
136,Cayman Islands,,50,,,,,,51.8,,,51.2,,51.8,54.2,52.2,49.5,49.4,49.3,50.5,,,
140,Central African Republic,,,,,,,,,,,,,,46.8,,,,,,,,
148,Chad,3.8,5.5,,,,,,,,,,,,,,,,,,,,
152,Chile,37.3,36.6,37.4,37.5,37.6,37.3,36.8,37.2,31.7,32.7,32.8,32.9,33.2,33.5,34.2,34.4,34.9,35.5,36.2,36.9,37.6,36.9
156,China,37.8,37.9,35.8,37.3,38.1,38.7,38.7,38.8,37.9,39.1,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",41.2,41.5,41.6,42,42.2,42.5,42.6,43.3,43.7,44.1,44.8,45.5,45.9,46.8,47.3,47.8,47.9,48.2,48.6,49.6,49.5,49.6
446,"China, Macao Special Administrative Region",42.7,42.8,44,43.6,45,45.3,46.5,46.5,47.4,48.8,48.9,48.8,50.2,49,49.4,49.5,48.1,48.1,,50,50.1,
170,Colombia,41.8,43.6,44.4,44.6,43.6,44.9,44.7,46.1,45.8,47.8,48.8,49.1,50.1,48.8,48.3,47.4,46.6,47.5,47.5,46.3,46.4,45.9
174,Comoros,,,,,,,18,,,,,,,,,,,,,,,
178,Congo,26.1,,,,,,,,,,,,,,,,,,,,,
184,Cook Islands,38.4,,,38.2,,,,,,,,,,,,,,,,,,
188,Costa Rica,37.2,37.4,37.8,36.3,36.5,36.7,37.2,37.5,38.8,39.5,39.3,40.1,39.9,39.5,38.5,39.6,40.7,41.1,41.5,42.8,42.9,
384,Cote d'Ivoire,,,,,,,,,20.6,,,,,,,,,,,,,
191,Croatia,43.2,43.8,44.8,45.7,46.4,46.6,46.7,46.9,47.6,47.7,47,46.7,46.9,46.1,45.7,45.9,46.9,45.5,45.8,47.1,47,46.6
192,Cuba,,,,,,42.3,42,42.3,42.9,43.3,43.3,42.8,42.3,42.8,42.6,42.6,42.7,43.7,43.4,44.8,44.8,
196,Cyprus,,,,,,41.3,41.6,42,42.4,43.2,44.4,47.4,48.2,49.3,48.2,47.7,48.1,49.1,48.7,50,50.8,51.4
203,Czech Republic,51,48.3,45.7,46,46.4,46.3,46.3,46.2,46.2,46.5,46.5,46.6,46.7,46.8,47.1,46.6,46.4,46.3,46,45.9,46.1,46.1
180,Democratic Republic of the Congo,25.9,,,,,,,,,,,,,,,,,,,,,
208,Denmark,48,48.2,48.4,48.7,47.7,46.5,47.3,47.6,48.1,48.3,48.5,48.9,49,48.3,48.8,48.7,48.8,49,49.3,49.5,50,49.7
262,Djibouti,,,,,,,,,,,,,26.7,,,,,,,,,
212,Dominica,,39.7,,,,,,46.8,,44,,43.8,,,,,,,,,,
214,Dominican Republic,,31.5,31.3,31.4,32.6,34,32.3,32.1,34.6,34.6,37.3,36.9,38.2,39,38,37.7,39.3,38.8,,40.6,41.8,
218,Ecuador,30.9,31.5,33.4,32,32.9,33.3,33.3,33.8,33.3,39,39.3,38.7,38.1,,39.2,40.2,38.7,,,,,
818,Egypt,20.5,18.7,17.8,18.8,18.9,18.9,,18.9,20,20.9,19,20.7,22.4,19.9,18.8,17.7,18.1,19,18,18.1,18,
222,El Salvador,,,,,,30,28.7,29.2,36.1,36.7,32.3,31.3,33.5,33,30.8,32.5,33.1,32.9,,33.2,32.8,
226,Equatorial Guinea,10.5,,,,,,,,,,,,,,,,,,,,,
232,Eritrea,,,,,,,31.1,,,,,,,,,,,,,,,
233,Estonia,52.3,51.7,51.2,51.4,51.1,50.8,51.3,50.9,51.4,51.6,51.7,51.7,51.5,51.5,52.2,52.6,52.5,52.3,51.8,53.9,54,53
231,Ethiopia,,,,,,,,,,40.9,,,,,40.6,43.8,47.3,,,39.7,41.6,
234,Faeroe Islands,,,,,,,,,,,,,,,,45.8,,,,,,
242,Fiji,29.9,,,30.3,,,31.5,32.6,34,34.9,33.2,,,,,29.6,,,,,,
246,Finland,50.6,51.4,52.2,52.1,51.9,51.1,50.6,50.3,49.8,50.3,50.3,50.2,50.7,50.6,50.7,50.9,51,51,50.7,51.5,51.3,51.2
250,France,44.7,45,45.7,46.4,46.2,46.3,47.2,47.3,47.4,47.4,47.4,47.5,47.9,48.2,48.3,48.6,48.9,49.3,49.2,49.6,49.7,49.7
254,French Guiana,36.1,38.2,,,,,,,,,,,,,,,,,,45.9,,
258,French Polynesia,,,,,,42.3,42.8,42.4,41.9,41.7,42.4,41.8,42.5,42.2,42.7,42.5,42.8,42.7,,43.5,43.8,
266,Gabon,,,,29.3,,,,,,,,,,,,,,,,,34.5,
270,Gambia,,,,,,,,,33.9,31.7,,,,,,,,,,,,
268,Georgia,,,,,,,,,49.4,49.2,,,49.6,48.9,50.3,48.5,48.5,47.8,46.2,46.7,48.5,
276,Germany,,42.7,42.6,42.7,43,43,43.7,44,44.2,44.8,45.1,45.5,45.9,46.4,46.6,46.6,46.9,46.9,46.8,47.5,47.7,47.9
288,Ghana,,,,,,,,,,,31.7,,,,,,,,,,,
292,Gibraltar,34.5,32.8,33.9,37,38.4,37.7,36.8,37.2,37.7,39.3,39.7,39.9,40.2,41.6,41.5,41.9,41.5,41,,41.2,40.8,
