CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
4,Afghanistan,3.7,,,,,,,,,,,,,,,,27.3,27.3,27.7,27.7,27.3,27.7,27.7,27.7
8,Albania,28.8,,,,,,,12.1,,,5.2,5.2,5.7,5.7,5.7,6.4,7.1,7.1,7.1,7.1,16.4,16.4,15.7,15.7
12,Algeria,2.4,,,,,,,6.6,3.2,3.2,3.2,3.4,3.4,6.2,6.2,6.2,6.2,6.2,7.7,7.7,7.7,7.7,8,31.6
20,Andorra,,,,,,,,3.6,7.1,7.1,7.1,7.1,14.3,14.3,14.3,14.3,28.6,28.6,25,25,35.7,35.7,50,50
24,Angola,14.5,,,,,,,9.5,9.5,15.5,15.5,15.5,15.5,15.5,15.5,15,15,15,15,37.3,38.6,38.6,38.2,34.1
28,Antigua and Barbuda,0,,,,,,,5.3,5.3,5.3,,5.3,5.3,5.3,5.3,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
32,Argentina,6.3,,,,,,,25.3,27.6,27.6,28,26.5,30.7,30.7,30.7,33.7,36.2,35,40,40,38.5,38.5,37.4,37.4
51,Armenia,35.6,,,,,,,6.3,6.3,6.3,3.1,3.1,3.1,3.1,4.6,5.3,5.3,5.3,9.2,8.4,9.2,9.2,8.4,10.7
36,Australia,6.1,,,,,,,15.5,15.5,22.3,22.4,23,25.3,25.3,25.3,24.7,24.7,24.7,26.7,26.7,27.3,24.7,24.7,24.7
40,Austria,11.5,,,,,,,26.8,26.2,26.2,26.8,26.8,26.8,33.9,33.9,33.9,33.9,32.2,32.8,27.3,27.9,27.9,27.9,27.9
31,Azerbaijan,,,,,,,,12,12,12,12,,10.5,10.5,10.5,10.5,12,11.3,11.4,11.4,11.4,16,16,16
44,Bahamas,4.1,,,,,,,8.2,15,15,15,15,15,20,20,20,20,20,12.2,12.2,12.2,12.2,12.2,13.2
48,Bahrain,,,,,,,,,,,,,,0,0,0,0,2.5,2.5,2.5,2.5,2.5,10,10
