CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,119.5,115.3,111.3,107.9,104.9,102.2,100.2,98.4,96.7,95.2,93.5,91.6,89.6,87.5,85.3,83.2,81.2,79.3,77.6,75.9,74.3,72.7,71
8,Albania,36.7,35.6,34.5,33.4,32.4,31.2,30.1,28.9,27.7,26.5,25.3,24,22.9,21.8,20.7,19.8,18.9,18.1,17.4,16.8,16.1,15.6,15
12,Algeria,41.9,40.9,40,39.1,38.1,37,35.8,34.4,32.9,31.3,29.8,28.2,26.6,25.1,23.8,22.6,21.6,20.7,19.8,19.1,18.4,17.8,17.2
20,Andorra,6.7,6.4,6.1,5.8,5.4,5.2,5,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.5,3.3,3.3,3.1,3,2.9,2.9,2.7,2.6
24,Angola,126.1,125.7,125.3,124.9,124.7,124.3,123.9,123.2,122.6,121.8,120.9,119.8,118.9,117.8,117.1,115.9,114.3,112.1,109.7,107.1,104.6,102.2,99.5
28,Antigua and Barbuda,19.8,19.2,18.5,18,17.4,17,16.6,16.1,15.5,14.9,14.3,13.8,13.2,12.7,12.2,11.7,11.3,10.9,10.5,10.2,9.8,9.5,9.2
32,Argentina,24.4,23.6,22.8,22.1,21.4,20.8,20.2,19.6,19.1,18.5,18,17.6,17.1,16.6,15.9,15.3,14.7,14.2,13.8,13.5,13.3,13,12.7
51,Armenia,42.2,40.4,38.6,36.8,35.2,33.5,32,30.5,29.1,27.8,26.5,25.3,24.1,23,21.9,20.8,19.8,18.9,17.9,17.1,16.2,15.4,14.7
36,Australia,7.6,7.1,6.7,6.3,6,5.8,5.6,5.4,5.4,5.3,5.1,5,5,4.9,4.8,4.7,4.6,4.4,4.3,4.3,4.2,4.1,4.1
40,Austria,8,7.6,7.2,6.7,6.2,5.7,5.4,5,4.9,4.7,4.6,4.5,4.4,4.4,4.2,4,3.8,3.7,3.6,3.5,3.5,3.4,3.3
31,Azerbaijan,74.1,74,73.8,73.7,73.2,72.2,70.7,68.5,65.7,62.6,59.2,55.7,52.4,49.2,46.2,43.6,41.1,38.9,36.9,35.1,33.4,32,30.8
44,Bahamas,19.6,18.7,17.8,16.9,16.2,15.5,15,14.6,14.3,14.3,14.3,14.5,14.7,14.9,15.1,15.1,15.1,15,14.9,14.7,14.5,14.1,13.9
48,Bahrain,19.7,19.3,18.7,17.8,16.7,15.5,14.2,13.1,12.2,11.4,10.9,10.5,10.2,10,9.8,9.7,9.5,9.3,9.1,8.9,8.6,8.4,8.2
50,Bangladesh,99.5,95.8,92,88.3,84.5,80.8,77.1,73.6,70.2,67,64.2,61.5,59,56.5,54,51.4,48.6,45.7,42.8,40.1,37.5,35.2,33.1
52,Barbados,15.7,15.2,14.7,14.3,14.1,14,14.1,14.4,14.8,15.4,16,16.7,17.4,17.8,18.2,18.4,18.5,18.4,18.2,18,17.7,17.3,16.9
112,Belarus,13.5,13.5,13.6,13.8,14.1,14.4,14.4,14.2,13.5,12.5,11.4,10.2,9.3,8.5,8,7.3,6.7,6.1,5.6,5.1,4.7,4.3,3.9
56,Belgium,8.3,8,7.6,7.2,6.8,6.3,5.8,5.5,5.2,5,4.7,4.6,4.4,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.4
84,Belize,34.9,32.9,31.2,29.6,28,26.6,25.4,24.1,23,22,21.1,20.4,19.7,19.1,18.7,18.3,17.9,17.5,17.1,16.8,16.5,16.1,15.7
204,Benin,108.6,105.8,103,100.4,98.2,96.7,95.6,94.6,93.8,92.5,90.8,88.5,85.7,82.6,79.2,75.7,72.3,69.3,66.9,64.6,62.3,60.4,58.5
64,Bhutan,91.5,87.9,84.3,81,77.7,74.5,71.3,68.2,65.3,62.3,59.4,56.9,54.2,51.8,49.3,47,44.8,42.7,41,39.5,38.2,36.9,35.7
68,Bolivia,85,82.3,79.6,76.9,74.3,71.6,68.9,66.1,63.2,60.4,57.5,54.7,52,49.4,46.9,44.5,42.3,40.3,38.4,36.8,35.3,34,32.8
70,Bosnia and Herzegovina,16.2,15.1,14.3,13.5,12.8,12.1,11.5,10.8,10.1,9.3,8.8,8.4,8,7.9,7.8,7.7,7.6,7.5,7.2,6.8,6.5,6,5.8
72,Botswana,37.8,38.1,39,40.6,42.6,44.9,47.1,49.3,51.1,53.1,54.6,54.5,54.3,52.3,47.7,45.7,45.5,45.9,46.1,44.8,43.6,42.9,41
76,Brazil,51.6,49.7,47.5,45.3,42.9,40.5,38.1,35.7,33.3,31.1,29.1,27.1,25.3,23.6,22,20.5,19.1,17.9,16.7,15.6,14.5,13.6,12.9
96,Brunei Darussalam,9.4,9.1,9,8.8,8.5,8.3,8.1,7.9,7.8,7.7,7.6,7.5,7.4,7.3,7.3,7.1,7.1,7,6.9,6.8,6.8,6.8,6.7
100,Bulgaria,18.4,18.8,19.1,19.2,19.3,19.4,19.5,19.4,19.2,18.6,17.9,17.1,16.3,15.5,14.6,13.6,12.9,12.3,11.8,11.5,11.3,10.9,10.5
854,Burkina Faso,102.2,102.1,102.2,102.2,101.9,101.3,100.4,99.4,98.3,97.4,96.4,95.2,93.8,91.8,89.4,86.4,83.1,79.6,76.2,72.9,70.1,67.7,65.8
108,Burundi,99.7,99.1,98.5,97.8,97,96.2,95.4,94.5,93.7,92.9,92.1,91.1,89.8,88.1,86,83.6,81,78.3,75.9,73.4,71.1,68.9,66.9
116,Cambodia,85,85.2,85.6,86.1,86.8,87.6,88.3,88.4,87.6,85.5,81.6,75.9,69,62.3,56.6,51.9,48,44.6,41.8,39.3,37.3,35.5,33.9
120,Cameroon,84,85.1,86.7,88.7,90.8,92.6,93.9,94.6,94.8,93.9,92,89.4,86.3,83,80,77.1,74.6,72.3,69.9,67.7,65,63,61.1
124,Canada,6.8,6.6,6.4,6.1,6,5.7,5.6,5.4,5.4,5.3,5.2,5.3,5.3,5.2,5.2,5.2,5.2,5.1,5,5,4.9,4.7,4.7
