CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
4,Afghanistan,1300,adsf,adsf,adsf,adsf,1300,adsf,adsf,adsf,adsf,1000,adsf,adsf,adsf,adsf,710,adsf,adsf,adsf,adsf,460
8,Albania,48,adsf,adsf,adsf,adsf,43,adsf,adsf,adsf,adsf,39,adsf,adsf,adsf,adsf,31,adsf,adsf,adsf,adsf,27
12,Algeria,220,adsf,adsf,adsf,adsf,180,adsf,adsf,adsf,adsf,140,adsf,adsf,adsf,adsf,110,adsf,adsf,adsf,adsf,97
24,Angola,1200,adsf,adsf,adsf,adsf,1200,adsf,adsf,adsf,adsf,890,adsf,adsf,adsf,adsf,650,adsf,adsf,adsf,adsf,450
32,Argentina,71,adsf,adsf,adsf,adsf,60,adsf,adsf,adsf,adsf,63,adsf,adsf,adsf,adsf,69,adsf,adsf,adsf,adsf,77
51,Armenia,46,adsf,adsf,adsf,adsf,47,adsf,adsf,adsf,adsf,38,adsf,adsf,adsf,adsf,34,adsf,adsf,adsf,adsf,30
36,Australia,10,adsf,adsf,adsf,adsf,13,adsf,adsf,adsf,adsf,9,adsf,adsf,adsf,adsf,7,adsf,adsf,adsf,adsf,7
40,Austria,10,adsf,adsf,adsf,adsf,7,adsf,adsf,adsf,adsf,5,adsf,adsf,adsf,adsf,5,adsf,adsf,adsf,adsf,4
31,Azerbaijan,56,adsf,adsf,adsf,adsf,81,adsf,adsf,adsf,adsf,65,adsf,adsf,adsf,adsf,52,adsf,adsf,adsf,adsf,43
44,Bahamas,52,adsf,adsf,adsf,adsf,56,adsf,adsf,adsf,adsf,56,adsf,adsf,adsf,adsf,47,adsf,adsf,adsf,adsf,47
48,Bahrain,23,adsf,adsf,adsf,adsf,21,adsf,adsf,adsf,adsf,22,adsf,adsf,adsf,adsf,21,adsf,adsf,adsf,adsf,20
50,Bangladesh,800,adsf,adsf,adsf,adsf,560,adsf,adsf,adsf,adsf,400,adsf,adsf,adsf,adsf,330,adsf,adsf,adsf,adsf,240
52,Barbados,120,adsf,adsf,adsf,adsf,39,adsf,adsf,adsf,adsf,49,adsf,adsf,adsf,adsf,41,adsf,adsf,adsf,adsf,51
112,Belarus,37,adsf,adsf,adsf,adsf,28,adsf,adsf,adsf,adsf,31,adsf,adsf,adsf,adsf,20,adsf,adsf,adsf,adsf,4
56,Belgium,10,adsf,adsf,adsf,adsf,10,adsf,adsf,adsf,adsf,9,adsf,adsf,adsf,adsf,8,adsf,adsf,adsf,adsf,8
84,Belize,71,adsf,adsf,adsf,adsf,32,adsf,adsf,adsf,adsf,100,adsf,adsf,adsf,adsf,77,adsf,adsf,adsf,adsf,53
204,Benin,770,adsf,adsf,adsf,adsf,660,adsf,adsf,adsf,adsf,530,adsf,adsf,adsf,adsf,430,adsf,adsf,adsf,adsf,350
64,Bhutan,1000,adsf,adsf,adsf,adsf,670,adsf,adsf,adsf,adsf,430,adsf,adsf,adsf,adsf,270,adsf,adsf,adsf,adsf,180
68,Bolivia,450,adsf,adsf,adsf,adsf,360,adsf,adsf,adsf,adsf,280,adsf,adsf,adsf,adsf,240,adsf,adsf,adsf,adsf,190
70,Bosnia and Herzegovina,18,adsf,adsf,adsf,adsf,14,adsf,adsf,adsf,adsf,10,adsf,adsf,adsf,adsf,9,adsf,adsf,adsf,adsf,8
72,Botswana,140,adsf,adsf,adsf,adsf,210,adsf,adsf,adsf,adsf,350,adsf,adsf,adsf,adsf,330,adsf,adsf,adsf,adsf,160
76,Brazil,120,adsf,adsf,adsf,adsf,96,adsf,adsf,adsf,adsf,81,adsf,adsf,adsf,adsf,67,adsf,adsf,adsf,adsf,56
96,Brunei Darussalam,29,adsf,adsf,adsf,adsf,25,adsf,adsf,adsf,adsf,24,adsf,adsf,adsf,adsf,25,adsf,adsf,adsf,adsf,24
100,Bulgaria,24,adsf,adsf,adsf,adsf,23,adsf,adsf,adsf,adsf,28,adsf,adsf,adsf,adsf,13,adsf,adsf,adsf,adsf,11
854,Burkina Faso,700,adsf,adsf,adsf,adsf,560,adsf,adsf,adsf,adsf,450,adsf,adsf,adsf,adsf,370,adsf,adsf,adsf,adsf,300
108,Burundi,1100,adsf,adsf,adsf,adsf,1100,adsf,adsf,adsf,adsf,1000,adsf,adsf,adsf,adsf,910,adsf,adsf,adsf,adsf,800
116,Cambodia,830,adsf,adsf,adsf,adsf,750,adsf,adsf,adsf,adsf,510,adsf,adsf,adsf,adsf,340,adsf,adsf,adsf,adsf,250
120,Cameroon,670,adsf,adsf,adsf,adsf,720,adsf,adsf,adsf,adsf,730,adsf,adsf,adsf,adsf,720,adsf,adsf,adsf,adsf,690
124,Canada,6,adsf,adsf,adsf,adsf,7,adsf,adsf,adsf,adsf,7,adsf,adsf,adsf,adsf,11,adsf,adsf,adsf,adsf,12
132,Cape Verde,200,adsf,adsf,adsf,adsf,200,adsf,adsf,adsf,adsf,170,adsf,adsf,adsf,adsf,110,adsf,adsf,adsf,adsf,79
140,Central African Republic,930,adsf,adsf,adsf,adsf,1000,adsf,adsf,adsf,adsf,1000,adsf,adsf,adsf,adsf,1000,adsf,adsf,adsf,adsf,890
148,Chad,920,adsf,adsf,adsf,adsf,1000,adsf,adsf,adsf,adsf,1100,adsf,adsf,adsf,adsf,1100,adsf,adsf,adsf,adsf,1100
152,Chile,56,adsf,adsf,adsf,adsf,40,adsf,adsf,adsf,adsf,29,adsf,adsf,adsf,adsf,26,adsf,adsf,adsf,adsf,25
156,China,120,adsf,adsf,adsf,adsf,84,adsf,adsf,adsf,adsf,61,adsf,adsf,adsf,adsf,45,adsf,adsf,adsf,adsf,37
170,Colombia,170,adsf,adsf,adsf,adsf,130,adsf,adsf,adsf,adsf,130,adsf,adsf,adsf,adsf,100,adsf,adsf,adsf,adsf,92
174,Comoros,440,adsf,adsf,adsf,adsf,380,adsf,adsf,adsf,adsf,340,adsf,adsf,adsf,adsf,310,adsf,adsf,adsf,adsf,280
