CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan, , , , , , , , , , ,4.9, , ,10.3, ,13.6,18.6, ,22.8, ,21.8, , 
8,Albania, , , , , , , , , , ,57.5, ,75.1, , ,60.1, , , ,69.3, , , 
12,Algeria, , ,50.9, , ,56.9, , , , ,64, ,57, , , ,61.4, , , , , , 
24,Angola, , , , , , ,8.1, , , , ,6.2, , , , , , , ,17.7, , , 
660,Anguilla, , , , , , , , , , , , , ,43, , , , , , , , , 
32,Argentina, , , , , , , , , , , ,65.3, , , ,78.9, , , , , , , 
51,Armenia, ,56, , , , , , , , ,60.5, , , , ,53.1, , , , ,54.9, , 
36,Australia, , , , , ,66.7, , , , , , ,70.8, , ,72.3, , , , , , , 
40,Austria, , , , , , ,50.9, , , , , , , , , , , , ,69.6, , , 
31,Azerbaijan, , , , , , , , , , ,55.1,55.4, , , , ,51.1, , , , , , 
48,Bahrain, , , , , ,61.8, , , , , , , , , , , , , , , , , 
50,Bangladesh, ,39.9, , ,44.9, , ,49.8, , ,54.3, , , ,58.5, , ,55.8, , , ,61.2, 
112,Belarus, , , , , ,50.4, , , , , , , , , ,72.6, , , , , , , 
56,Belgium, , ,78.4, , , , ,56.5, , , ,75.6, , ,74.6, , , , , ,70.4, , 
84,Belize, ,46.7, , , , , , , ,56.1, , , , , , ,34.3, , , , ,55.2, 
204,Benin, , , , , , ,16.4, , , , ,18.6, , , , ,17, , , , , ,12.9
64,Bhutan, , , , ,18.8, , , , , ,30.7, , , , , , ,, , ,65.6, , 
68,Bolivia, , , , ,45.3, , , ,48.3, ,53.4, , , ,58.4, , , ,60.5, , , , 
70,Bosnia and Herzegovina, , , , , , , , , , ,47.5, , , , , ,35.7, , , , , ,45.8
72,Botswana, , , , , , ,41.7, , , ,44.4, , , , , , , ,52.8, , , , 
76,Brazil, , , , , , ,76.7, , , , , , , , , ,80.3, , , , , , 
100,Bulgaria, , , , , ,85.9, , ,63.4, , , , , , ,64.4, ,69.2, , , , , 
854,Burkina Faso, , , ,24.9, , , , , ,11.9, , , ,13.8, , ,17.4, , , , ,16.2, 
108,Burundi, , , , , , , , , , ,15.7, ,19.7, , ,9.1, , , , , ,21.9, 
116,Cambodia, , , , , ,12.6, , ,21.8, ,23.8, , , , ,40, , , , , ,50.5, 
120,Cameroon, ,16.1, , , , , , ,19.3, ,25.6, , , ,26, ,29.2, , , , ,23.4, 
124,Canada, , , , , ,74.7, , ,80, , , ,74, , , , , , , , , , 
