CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,,,,194,,,,,175,,,,,146,,,,,90,,,
8,Albania,15,14.6,16.3,17.3,21.6,24.6,24.8,21.6,19.5,17.2,16.4,,14.5,16.3,14.6,16.2,12.9,11.2,,,,
12,Algeria,23,26,26,,24,21,19,,7,,6,,,,,,4.4,,,,,
16,American Samoa,59.3,62.5,51.7,62.4,61.9,55.7,51.9,55.7,56.9,61,58.7,50.1,46.7,39.3,43.5,32.5,33.8,,,,,
20,Andorra,,,,,,,,,,,,,6.8,7.5,5.3,,11.1,7.3,8.9,5.1,,
24,Angola,,,,,,,145.6,,,,,122.4,,,,165,,,,,,
660,Anguilla,58,76.7,45.9,59,52.1,37.1,50.6,49.7,59.7,60.7,72.9,57.6,41.5,45.6,44,36,42.8,,,,,
28,Antigua and Barbuda,86.2,75.1,76.5,72.5,73.8,84.7,82.6,66,66.3,63.6,61.9,66.8,,,,,,,,,,
32,Argentina,68.3,69.6,65.5,63.1,62.6,61.7,62.8,66.8,64.9,64,64.7,61,61.5,57.5,63.7,63.8,63,64.5,67.4,68.2,,
51,Armenia,74.6,84.9,94.1,89.4,79.9,66.6,63.2,51.6,41.1,35.6,32.8,,28.2,29.4,29.6,26.8,25.7,26.4,27.2,29.4,28.3,
533,Aruba,,57,52.2,52.4,47.1,50.8,47.6,49.6,38.4,42.4,53,41.3,35.7,34.6,36,39.4,40.5,38.6,35.8,35.9,36.2,
36,Australia,21.5,21.1,21.2,20.3,20.2,20.1,20,19.6,18.6,18.2,17.6,17.6,17.1,16,15.9,15.6,14.9,15.4,16.8,16.4,15.5,
40,Austria,21.3,22.8,23,22.3,18.7,17.1,15.5,14.7,14,13.1,,13.4,13.4,12.8,13.4,12.7,11.8,11.1,11.1,10.2,10.3,9
31,Azerbaijan,25.6,29.4,33.8,37.5,39.8,39,35.2,40.3,35.7,31.6,28.7,25.9,25.5,26.4,29.1,41.1,44,37,39.8,40.7,,
44,Bahamas,69.9,64.9,77.4,75.8,,65.1,63.6,61,55.4,48.8,46.6,47.5,44,43.5,44.9,42.5,37.3,40.5,,,,
48,Bahrain,22.6,20.6,22.5,22.1,20.8,21.7,20.6,20,21.8,19.7,15.3,12.6,13.6,19.8,20.3,18.2,13.8,12.7,12.3,14.8,14.6,14.4
50,Bangladesh,179,,159,,,157,,,147,,134,,145.8,,,133.4,,,,128,,
52,Barbados,57.1,56.4,59,,,,,,56.3,55.5,62.2,66.6,57.3,54,,46.7,45.8,49.5,,,,
112,Belarus,36.7,43.9,44.6,42.8,42.4,39.1,35.7,32.9,30.4,28.9,27,25.8,23.8,23.4,22.1,,21.8,,22.1,22.4,20.7,
56,Belgium,,,11.2,10.8,10.2,9.8,10.1,10,10.2,10.6,11.4,11.6,10.6,10.6,10.6,10.7,10.7,10.9,10.8,,,
84,Belize,129.2,116,107.1,,,,,,101.8,,,95.6,90.3,,,,,,,,,
204,Benin,,,140,,123,,,,,107.8,,,87,,114.3,,,,,,94,
60,Bermuda,36.7,34.6,,,,33.7,37.2,48.1,35.8,28.4,23.7,35.5,28.6,38.7,,,17.9,12.9,16,16.4,16.6,
64,Bhutan,,,,120,,,,,,,61.7,,,,,46.3,,,,59,,
68,Bolivia,,,96.4,,,,87.6,,,,,97,,,,,88.7,,,,,
70,Bosnia and Herzegovina,38.6,39.1,,,,,29.7,35.3,24.9,22.3,18.2,18.4,16.2,13.4,14.5,14.5,15,,,17.3,,
72,Botswana,,92,,,,,,,,,,51,,,,,51,,,,,
76,Brazil,,,,,88,,,,86.5,90,90.7,86.6,83.5,80.7,,79.8,78.4,77.2,71.4,,,
92,British Virgin Islands,28.4,45.6,53.5,47.3,37.7,,,46.7,39,51.8,45.6,33.9,35.8,32.8,40,28.8,25,27.4,,,,
96,Brunei Darussalam,34.5,35.2,36.8,,,,29.8,28.9,31.4,30.8,33.4,30.5,27.7,,,,18.9,19.7,17.8,,,
100,Bulgaria,70.3,,68.9,66.4,60.2,52.9,,44.5,,,47,43.3,40.4,39,,38.7,40.9,42,44.4,47.6,41.5,40.6
854,Burkina Faso,,154.2,,,,,139,144,,,,131.4,,,,,127.5,,130,,,
108,Burundi,33,,,,,60,,,40,,26.7,30,,,,,,,65,,,
116,Cambodia,,,,90,,,52,,50.9,,,,,52.3,,,,,48,,,
120,Cameroon,,,,,,,141.7,,,,136.4,,140.7,,,,,,,127,,
124,Canada,25,25.6,25.4,24.7,24.9,24.4,22.3,20.1,19.9,18.8,17.3,16.2,15,14.3,14.1,13.2,13.5,14,14.1,,,
132,Cape Verde,79.5,,,,,,100,,,,92,,,92,,,,,,,,
136,Cayman Islands,87.7,67.1,67.2,64.5,62.3,,,,,,,,,,,,,,,31.7,31.8,
140,Central African Republic,,,159.4,,,,,,,,166.1,,,132.9,,,,,,229,,
148,Chad,,,,119,,194.3,,,,,146,,192.7,,,,,,,203.4,,
830,Channel Islands,,16.9,,,,,,,,,,,,,,,,,,,,
152,Chile,64.7,63.4,63.4,64.4,65.9,65.6,66.1,66.3,65.6,62.2,60.3,57.9,53.4,48.5,,48.8,50.6,52.6,54,,,
156,China,16,15.9,9.6,17.1,14.9,14.5,11.8,9.8,9,2.6,6,2.7,2.7,5.3,5.6,6.3,4.6,3.8,5.3,6.2,,
344,"China, Hong Kong Special Administrative Region",5.8,6.1,6.1,6.5,6.4,5.9,5.7,5.5,5.2,4.7,4.3,3.8,3.5,3.3,3.8,3.8,4.2,4,3.8,3.4,,3
446,"China, Macao Special Administrative Region",8.6,9.4,8.1,6.2,7.1,7.5,5.8,5.1,5.1,5.9,5.3,5,,4.3,3.9,3.5,3.9,3.5,3.2,3.1,,
