CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan, , , , , , , , , , , , , ,16.1, , , , ,36, ,59.6,47.9, 
8,Albania, , , , , , , , , , ,95.3, ,90.6, , ,97.1, , , ,97.3, , , 
12,Algeria, , ,58, , , , , , , ,79, ,80.7, , , ,89.4, , , , , , 
24,Angola, , , , , , , , , , , , , , , , , ,79.8, , , , , 
28,Antigua and Barbuda, , , , , , , , ,82, ,99.9, , , ,100,99.9, ,100,100, , , , 
32,Argentina, , , ,95, , , , , , , ,97.5, , , ,99.2, , , , , , , 
51,Armenia, , , , , , , ,82, , ,92.4, , , , ,93, , , , ,99.1, , 
36,Australia, ,100, , , , , , , , , , , , , , , , ,98.3, , , , 
40,Austria, , , ,100, , , , , , , , , , , , , , , , , , , 
31,Azerbaijan, , , , , , , ,98.3, , ,66,70, , , , ,76.6, , , , , , 
44,Bahamas, , , , , , , , , , , , , , , , ,98,98, , , , , 
48,Bahrain, , , , , ,97.1, , , , , , , , , , , ,100, , , , , 
50,Bangladesh, , , , ,25.7, , ,26.4, , ,33.3,39.8, ,39.7,48.7, ,47.7,51.7, , ,52.8,54.6, 
52,Barbados,100, , , , , , , , ,89, , , ,100,100,100,100,100, , , , , 
112,Belarus, , , , , , , , , ,99.9, , , , , ,99.4, , , , , , , 
84,Belize, ,96, , , , , , , ,95.9, , , , , , ,94, , , , , , 
204,Benin, , , , , , ,80.3, , , , ,81.1, , , , ,84.1, , , , , ,85.8
64,Bhutan, , , , , , , , , , ,51, , , , , , ,88, , ,97.3, , 
68,Bolivia, , , , ,52.5, , , ,69, ,82.6, , ,79.1, , , , ,85.8, , , , 
70,Bosnia and Herzegovina, , , , , , , , , , ,99.2, , , , , ,98.9, , , , , , 
72,Botswana, , , , , , , , , , ,96.8, , , , , , ,94.1, , , , , 
76,Brazil, , , , , , ,85.7, , , , , , ,96.8,97.2,97.4,97.8,96.7, ,98.2, , , 
96,Brunei Darussalam, , , , ,100, , , , , , , , , , , , , , ,99, , , 
854,Burkina Faso, , , ,58.6, , , , , ,60.7, , , ,73.4, , ,85, , , ,94.3, , 
108,Burundi, , , , , , , , , , ,78, , , , ,92.4, , , , ,98.9, , 
116,Cambodia, , , , , , , , ,34.3, ,37.7, , , , ,69.3, , , , ,89.1, , 
120,Cameroon, ,78.8, , , , , , ,78.8, ,75.3, , , ,83.3, ,82, , , , ,84.7, 
124,Canada, , , , , , , , , , , , , , , , , ,100, , , , , 
132,Cape Verde, , , , , , , , ,99.3, , , , , , ,97.6, , , , , , , 
140,Central African Republic, , , , , ,66.9, , , , ,62, , , , , ,69.3, , , ,68.3, , 
148,Chad, , , , , , , ,23.4, , ,41.6, , , ,38.9, , , , , ,53.1, , 
152,Chile, , , ,95, , , , , , , , , , , , , , , , , , , 
156,China, , ,69.7,72.2,76.3,78.7,83.7,85.9,87.1,89.3,89.4,90.3,90.1,88.9,89.7,89.8,89.7,90.9,91,92.2,94.1, , 
170,Colombia,82, , , , ,82.6, , , , ,90.8, , , , ,93.5, , , , ,97, , 
174,Comoros, , , , , , ,84.5, , , ,74.3, , , ,75, , , , , , , , 
178,Congo, , , , , , , , , , , , , , , ,85.8, , , , , , ,92.6
184,Cook Islands, , , , , , , , , , , , , , , ,100, , ,100, , , , 
188,Costa Rica, , ,95, , , , , ,70.6,69.6, , , , ,91.7, ,91.7, ,89.9, , , , 
384,Cote d'Ivoire, , , , ,83.2, , , , ,84.3,87.6, , , , ,87.3,84.8, , , , , ,90.6
192,Cuba, , , , , , , , ,100, ,100, , , ,100,100, ,100, ,100,100,100, 
196,Cyprus, , , , , , , , , , , , , , , , , ,99.2, , , , , 
203,Czech Republic, , , ,99, , , , , , , , , , , , , , , , , , , 
180,Democratic Republic of the Congo, , , , , , , , , , , ,68.2, , , , , ,85.3, , ,88.8, , 
262,Djibouti, , , , , , , , , , , , , ,67, , ,92.3, , , , , , 
212,Dominica,90, , , , , , , , ,99.9, , , ,100,100,100, ,100,100, , , , 
214,Dominican Republic, ,96.9, , , , ,98.3, , , ,97.8, ,98.5, , , ,97,98.9, , , , , 
218,Ecuador, , , , ,74.7, , , ,68.8, , , , , ,84.2, , , , , , , , 
818,Egypt, ,52.1,52.9, , ,39.1, ,52,47.2, ,52.9, , ,68.7, ,69.6, , ,73.6, , , , 
222,El Salvador, , , ,68.7, , , , ,76, , , , ,86, , , , ,94, , , , 
226,Equatorial Guinea, , , , ,37, , , , , ,86.1, , , , , , , , , , , , 
232,Eritrea, , , , , ,48.9, , , , , , ,70.3, , , , , , , , , , 
231,Ethiopia, , , , , , , , , , ,26.7, , , , ,27.6, , , , , ,42.5, 
242,Fiji, , , , , , , , , , , , , , , , , , ,100, , , , 
246,Finland, , , ,100, , , , , , , , , , ,99.8, , , , , , , , 
250,France, , , ,99, , , , , , , , , , ,99.8, , , , , , , , 
266,Gabon, , , , , , , , , , ,94.4, , , , , , , , , , , , 
270,Gambia, , , , , , , , , , ,90.7, , , , , ,97.8, , , ,98.1, , 
268,Georgia, , , , , , , ,74, ,95.3, , , , , ,94.3, , , , ,97.6, , 
276,Germany, , , , , , , , , , , , , , ,100, , , , , , , , 
288,Ghana, , , ,85.7, , , , ,87.5, , , , ,91.9, , ,92.1,96.1,90.1, , ,96.4, 
308,Grenada,100, , , , , , , , ,98, , , ,99, ,100, ,100, , , , , 
320,Guatemala, , , , , ,52.5, , , ,59.6, , ,84.3, , , , , , ,93.2, , , 
324,Guinea, , ,57.6, , , , , , ,70.7, , , ,84.3, ,82.2, ,88.4, , , , , 
624,Guinea-Bissau, , , , , , , , , , ,62.1, , , , , ,77.9, , , ,92.6, , 
328,Guyana, , , , , , , , , , ,80.9, , ,90, , , ,81.4, ,92.1, , , 
332,Haiti, , , , , ,67.7, , , , ,78.8, , , , , ,84.5, , , , , , 
340,Honduras, , ,87.8, , , ,84.2, , , , ,82.6, , , , ,91.7, , , , , , 
356,India, , , ,61.9, , , , , ,65.1,61.8, , , , , ,74.2, , , , , , 
360,Indonesia, ,76.3, , ,82.3, , ,89.4, , , , , ,91.5, , , ,93.3, , ,92.7, , 
364,Iran, , , , , , , ,76.5, , , , , , , ,98.3, , , , , , , 
368,Iraq, , , , , , ,78, , , ,76.7, , , , , ,83.8, , , , , , 
372,Ireland, , , , , , , , , , , , , , ,99.5, , , , , , , , 
380,Italy, , , , , , , , , , , , , , ,99, , , , , , , , 
388,Jamaica, , , , , , , ,99, , , , ,98.1, , ,90.5, , ,99, , , , 
400,Jordan,80.2, , , , , , ,95.6, , , , ,98.6, , , , ,98.8, , , , , 
398,Kazakhstan, , , , , ,92.5, , , ,94.4, , , , , , ,99.9, , , , , , 
404,Kenya, , , ,94.9, , , , ,91.9, ,76.2, , ,88.1, , , , , ,91.5, , , 
296,Kiribati, , , , ,88, , , , , , , , , , , , , ,100,88.4, , , 
408,North Korea, , , , , , , , , , ,97.1, , , , , , , , ,100, , , 
414,Kuwait, , , , , , ,95, , , , , , , , , , ,100, , , , , 
417,Kyrgyzstan, , , , , , , ,97.3, , , , , , , , ,96.9, , , , , , 
418,Lao People's Democratic Republic, , , , , , , , , , , ,26.5, , , ,28.7,35.1, , , , , , 
428,Latvia, , , , , , , , , , , , , , ,91.8, , , , , , , , 
422,Lebanon, , , , , ,87, , , , , , , , ,95.6, , , , , , , , 
426,Lesotho, , , ,90.6, ,87.6, , , , ,84.7, , , ,90.4, , , , ,91.8, , , 
430,Liberia, , , , , , , , , , ,84.4, , , , , , ,79.3, , , , , 
434,Libyan Arab Jamahiriya, , , , , ,80.8, , , , , , , , , , , ,93, , , , , 
440,Lithuania, , , , , , , , , , , , , , ,100, , , , , , , , 
450,Madagascar, , ,78.2, , , , ,76.8, , ,71.2, , , ,79.9, , , , ,86.3, , , 
454,Malawi, , ,89.7, , , , , , , ,91.4, ,94.3, ,92.1, ,91.9, , , ,94.7, , 
458,Malaysia, , , , , , , , , , , , , ,73.6, ,78.8, , , ,90.7, , , 
462,Maldives, , , , , , , , , , , ,81, , ,95, , , , ,99.1, , , 
466,Mali, , , , , , ,46.9, , , , ,56.8, , , , ,70.4, , , , , , 
470,Malta, , , , , , , , , , , , , , ,100, , , , , , , , 
584,Marshall Islands, , , , , , , , , , , , , , , , , ,81.2, , , , , 
478,Mauritania, ,48, , , , , , , , , ,63.9, , , , , ,75.4, , , , , 
484,Mexico, , , , , ,86.1, , , , , , , , , , ,97.7, , ,95.8, , , 
583,Micronesia, , , , , , , , , , , , , , , , , , ,80, , , , 
496,Mongolia, , , , , , , , ,89.8, ,96.7, , ,98.2, ,98.9, , ,99.5, ,99, , 
499,Montenegro, , , , , , , , , , , , , , , , ,97.4, , , , , , 
504,Morocco, , ,32.3, , ,44.7, ,42, , , , , , ,67.8, , , , , , ,77.1, 
508,Mozambique, , , , , , , ,71.4, , ,75.8, , ,84.5, , , , ,92.3, , , , 
104,Myanmar, , , , , , , ,75.8, , , ,75.6, , , , , ,79.8, , ,83.1, , 
516,Namibia, , ,87.2, , , , , , , ,90.6, , , , , , ,94.6, , , , , 
520,Nauru, , , , , , , , , , , , , , , , , ,94.5, , , , , 
524,Nepal, ,15.4, , , , ,23.6, , , ,27,27.9, , , , ,43.7, , , , ,58.3, 
554,New Zealand, , , , ,95, , , , , , , , , , , , , , , , , , 
558,Nicaragua, , , ,71.5, , , , ,81.5, , ,85.5, , , , , ,90.2, , , , , 
562,Niger, , ,30.1, , , , , ,39.3, ,41, , , , , ,46.1, , , , , , 
566,Nigeria,56.5, , , , , , , , ,63.6, , , ,58, , , , ,57.7, , , , 
570,Niue, , , , , , , , , , , , , , , ,100, , ,100, , , , 
512,Oman, , , , , ,98.2, , ,96,96,99.6, , , , , , , ,97.8,99, , , 
586,Pakistan, ,25.6, , , , , ,26.4, ,24.8, ,43.3, , , ,36, ,60.9, , , , , 
585,Palau, , , , , , , , , , , , , , , , , ,100,100,100,90.3, , 
591,Panama, , , , , , , , ,72.2, , , , , , , , , , ,95.8, , , 
598,Papua New Guinea, , , , , , ,76.7, , , , , , , , , ,78.8, , , , , , 
600,Paraguay,83.9, , , , , ,88.7, ,89, , , , , ,94.2, , , ,96.3, , , , 
604,Peru, , ,63.9, , , ,67.3, , , ,83.8, , , ,91.1, ,91, , ,94.3,94.7,95.4, 
608,Philippines, , , ,83.1, , , , ,85.7, ,85.9, , ,87.6, , , , ,91.1, , , , 
620,Portugal, , , , , , , , , , , , , , ,100, , , , , , , , 
634,Qatar, , , , , , , , , , , , , , , , , , , ,100, , , 
498,Republic of Moldova, , , , , , , ,98.8, , , , , , , ,98, , , , , , , 
642,Romania, , , , , , , , , , , , , , ,93.5, , , , , , , , 
646,Rwanda, , ,94.4, , , , , , , ,91.5, , , , ,94.4, , ,95.8, ,98, , 
659,Saint Kitts and Nevis,100, , , , , , , , , , , , , ,100,100, ,100, , , , , 
662,Saint Lucia,100, , , , , , , , , ,47.8, , , ,99.2,99.2,99.2,99.2, , , , , 
670,Saint Vincent and the Grenadines, , , , , , , , , ,91.8,99, , , , ,95, , ,99.5, , , , 
882,Samoa, , , , , , , , , , , , , , , , , , , ,93, , , 
678,Sao Tome and Principe, , , , , , , , , , ,90.6, , , , , ,97.3, , ,97.9, , , 
682,Saudi Arabia, , , , , , ,90, , , , , , , , , , , ,97, , , , 
686,Senegal, , , ,73.6, , , ,82.1, , ,79, , , , ,87.4, , , , , ,93.3, 
688,Serbia, , , , , , , , , , , , , , , , ,98.2, , , ,99, , 
694,Sierra Leone, , , , , , , , , , ,67.9, , , , ,81.1, , ,86.9, ,93, , 
703,Slovakia, , , , , , , , , , , , , , ,96.9, , , , , , , , 
705,Slovenia, , ,98, , , , , , , , , , , ,99.5, , , , , , , , 
90,Solomon Islands, , , , , , , , , , , , , , , , , ,73.9, , , , , 
706,Somalia, , , , , , , , , ,32.3, , , , , , ,26.1, , , , , , 
710,South Africa, , , , , ,89, , ,94.2, , , , ,91.9, , , , ,97.1, , , , 
728,South Sudan, , , , , , , , , , , , , , , , ,26.2, , , ,40.3, , 
144,Sri Lanka, , , ,80.2, , , , , , ,94.5, , , , , , ,99.4, , , , , 
275,State of Palestine, , , , , , , , , , ,95.6, , , , , ,98.8, , , , , , 
729,Sudan, , , , , , , , , , , , , , , , ,74.1, , , ,74.3, , 
736,Sudan (former), , , , , , , , , , , , , , , , ,63.7, , , , , , 
740,Suriname, , , , , , ,91, , , ,90.6, , , , , ,89.9, , , , , , 
748,Swaziland, , , , , , , , , , ,86.6, ,89.8, , , , ,84.8, , ,96.8, , 
752,Sweden, , , , , , , , , , , , , , ,100, , , , , , , , 
760,Syrian Arab Republic, , , ,51, , , , , , ,71.2, , , , , ,84, , ,87.7, , , 
762,Tajikistan, , , , , , , , , , ,71.3, , , , ,77.1, ,88.8, , , , , 
764,Thailand, , , , , , ,85.9, , , ,91.8, , , , , ,97.8, , ,99.1, , , 
807,Macedonia, , , , , , , ,100, , ,81, , , , ,98.1,94, , , , ,98.6, 
626,Timor-Leste, , , , , , , ,70.9, , , , ,42.5,60.5, , , , , , ,84.4, , 
768,Togo, , , , , , , , ,82, ,72.9, , ,84.8, , ,84.1, , , ,71.6, , 
776,Tonga, , , , , , , , , , , , , , , , , , ,99, ,97.9, , 
780,Trinidad and Tobago, , , , , , , , , , ,92.4, , , , , ,95.7, , , , , , 
788,Tunisia, , , , , ,79, , , , ,91.5, , , , , ,96, , , , , , 
792,Turkey, , , ,62.3, , , , ,67.5, , , , ,80.9, , , , ,92, , , , 
795,Turkmenistan, , , , , , , , , , ,98.1, , , , , ,99.1, , , , , , 
798,Tuvalu, , , , , , , , , , , , , , , , , ,97.4, , , , , 
800,Uganda, , , , , ,91.2, , , , , ,92.4, , , , ,93.5, , , , ,93.3, 
804,Ukraine, , , , , , , , , , , , , , , ,98.8, ,98.5, , , , , 
784,United Arab Emirates, , , , , ,96.8, , , , , , , , , , , ,100, , , , , 
834,Tanzania, , ,62.2, , , ,49.5, , ,48.8, , , , , ,78.2, , ,75.8, ,87.8, , 
858,Uruguay, , , , , , , ,94, , , , , , , ,97.1, ,96.2, , , , , 
860,Uzbekistan, , , , , , ,94.9, , , ,97.2, , , , , ,99, , , , , , 
548,Vanuatu, , , , , , , , , , , , , , , , , ,84.3, , , , , 
862,Venezuela, , , , , , , , , , ,94.1, , , , , , , , , , , , 
704,Viet Nam, , , , , , , ,70.6, , ,68.3, ,86.4, , , ,90.8, , , , ,93.7, 
887,Yemen, , ,25.8, , , , ,34.3, , , , , ,41.4, , ,47, , , , , , 
894,Zambia, , ,92.4, , , ,95.6, , ,83.1, , ,93.4, , , , ,93.7, , , , , 
716,Zimbabwe, , , , ,93.1, , ,88.1, ,93.1, , , , , , ,94.2, , ,88.4, ,89.8, 
