CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
8,Albania, , , , , , , , , , , , ,1.3, , , , , , ,12.9, , , 
51,Armenia, , , , , , , , , , ,18.1, , , , ,19.3, , , , ,13.5, , 
31,Azerbaijan, , , , , , , , , , , ,11.5, , , , ,15.4, , , , , , 
50,Bangladesh, , , , ,21.6, , ,19.7, , ,18.2, , , ,15, , ,16.8, , , ,13.5, 
56,Belgium, , ,3.4, , , , , , , , , , , , , , , , , , , , 
84,Belize, ,25.7, , , , , , , ,20.8, , , , , , , , , , , ,15.9, 
204,Benin, , , , , , ,27.7, , , , ,27.9, , , , ,27.3, , , , , , 
64,Bhutan, , , , , , , , , , , , , , , , , , , , ,11.7, , 
68,Bolivia, , , , ,28.9, , , ,26.6, , , , , ,22.8, , , ,20.1, , , , 
70,Bosnia and Herzegovina, , , , , , , , , , , , , , , , , , , , , , ,9
76,Brazil, , , , , , ,10.8, , , , , , , , , ,6, , , , , , 
100,Bulgaria, , , , , , , , ,29.7, , , , , , , , , , , , , , 
854,Burkina Faso, , , ,24.6, , , , , ,30.3, , , ,29.8, , , , , , , ,24.5, 
108,Burundi, , , , , , , , , , , , ,29, , , , , , , , ,32.4, 
116,Cambodia, , , , , , , , , , ,33, , , , ,25.3, , , , , ,16.9, 
120,Cameroon, ,22.4, , , , , , ,20.7, , , , , ,20.5, , , , , , ,23.5, 
132,Cape Verde, , , , , , , , ,14.2, , , , , , ,16.7, , , , , , , 
140,Central African Republic, , , , , ,19.1, , , , , , , , , , , , , , , , , 
148,Chad, , , , , , , ,17.4, , , , , , ,20.6, , , , , ,28.3, , 
156,China, , ,3.3, , , , ,2.7, , , ,2.3, , , , , , , , , , , 
170,Colombia,13.7, , , , ,11.4, , , , ,10, , , , ,8.6, , , , ,8, , 
174,Comoros, , , , , , ,35.6, , , , , , , , , , , , , , , , 
178,Congo, , , , , , , , , , , , , , , ,19.5, , , , , , , 
188,Costa Rica, , , ,5, , , , , , , , , , , , , , , , , , , 
384,Cote d'Ivoire, , , , ,30.4, , , , ,28.9, , , , , , , , , , , , , 
192,Cuba, , , , , , , , , , , , , , , , , , , , , ,9.1, 
203,Czech Republic, , , ,14.6, , , ,10.8, , , , , , , ,8.1, , ,4.3, , , , 
180,Democratic Republic of the Congo, , , , , , , , , , , , , , , , , ,26.9, , ,24.2, , 
214,Dominican Republic, ,19.4, , , , ,14.3, , ,13.8, , ,12.4, , , , ,11.1, , , , , 
218,Ecuador, , , , ,15.2, , , , ,10, , , , ,7.4, , , , , , , , 
818,Egypt, , ,22.9, , ,20.2, ,17.8,14.5, ,13.7, , ,11.8, ,12.3, , ,11.6, , , , 
222,El Salvador, , , ,15.8, , , , ,14.2, , , , ,8.9, , , , , , , , , 
232,Eritrea, , , , , ,29.7, , , , , , ,28.5, , , , , , , , , , 
231,Ethiopia, , , , , , , , , , ,36.6, , , , ,36.1, , , , , ,26.3, 
250,France, , , , ,7.4, , , , , , , , , , ,1.7, , , , , , , 
266,Gabon, , , , , , , , , , ,27.9, , , , , , , , , , , , 
270,Gambia, , , , , , , , , , , , , , , , , , , , ,21.5, , 
268,Georgia, , , , , , , , , , ,23.8, , , , ,16.3, , , , ,12.3, , 
288,Ghana, , , ,36.9, , , , , ,34.7, , , ,34.5, , , , ,35.7, , , , 
320,Guatemala, , , , , ,28.1, , , ,26.8, , ,27.6, , , , , , , , , , 
324,Guinea, , , ,24.7, , , , , ,24.8, , , , , ,21.9, , , , , , , 
624,Guinea-Bissau, , , , , , , , , , , , , , , , , , , , ,6, , 
328,Guyana, , , , , , , , , , , , , , , , , , , ,28.5, , , 
332,Haiti, , , , , ,44.7, , , , ,39.6, , , , , ,37.3, , , , , , 
340,Honduras, , , , , , ,18, , , , ,11.2, , , , ,16.8, , , , , , 
348,Hungary, , , ,7, , , , , , , , , , , , , , , , , , , 
356,India, , , ,20.3, , , , , ,16.1, , , , ,21.1, ,13.9, ,20.5, , , , 
360,Indonesia, ,17, , ,15.3, , ,13.6, , , , , ,13.2, , , ,13.1, , , , ,11.4
368,Iraq, , , , , , , , , , , , , , , , , , , , , ,8, 
380,Italy, , , , , , ,11.8, , , , , , , , , , , , , , , , 
388,Jamaica, , , ,13, , , ,14.2, , , , , ,11.7, , , , , , , , , 
400,Jordan,26.5, , , , , , ,20.1, , , , ,14.9, , , , ,13.8, ,13.4, , , 
398,Kazakhstan, , , , , ,16.3, , , ,11.9, , , , , , , , , , , ,11.6, 
404,Kenya, , , ,35.3, , , , ,28, , , , ,27.4, , , , , ,25.6, , , 
296,Kiribati, , , , , , , , , , , , , , , , , , , ,28, , , 
417,Kyrgyzstan, , , , , , , ,11.8, , , , , , , , , , , , , , , 
418,Lao People's Democratic Republic, , , , , , , , , , ,39.5, , , , ,27.3, , , , , , , 
428,Latvia, , , , , ,16.8, , , , , , , , , , , , , , , , , 
426,Lesotho, , , , , , , , , , , , , , , ,31, , , , ,23.3, , 
430,Liberia, , , , , , , , , , , , , , , , , ,35.7, , , , , 
440,Lithuania, , , , , ,18, , , , , , , , , , , , , , , , , 
450,Madagascar, , ,32.3, , , , ,27.7, , , , , , ,24.5, , , , ,19, , , 
454,Malawi, , ,36.5, , , , , , , ,29.9, , , ,30.3, , , , , ,26.1, , 
462,Maldives, , , , , , , , , , , , , , , , , , , ,28.6, , , 
466,Mali, , , , , , ,27.5, , , , ,29.6, , , , ,27.6, , , , , , 
584,Marshall Islands, , , , , , , , , , , , , , , , , ,8.1, , , , , 
478,Mauritania, , , , , , , , , , , ,32.1, , , , , , , , , , , 
480,Mauritius, ,6.4, , , , , , , , , , ,3.5, , , , , , , , , , 
484,Mexico, , , , , ,16.1, ,12.1, , , , , ,9.9, , ,12, , , , , , 
496,Mongolia, , , , , , , , ,9.9, , , , ,4.6, , , , ,14.4, ,22, , 
504,Morocco, , ,23.5, , ,16.1, , , , , , , , ,11.9, , , , , , ,11.9, 
508,Mozambique, , , , , , , ,24.9, , , , , , ,18.9, , , , , , , , 
104,Myanmar, ,20.6, , , , , ,19.1, , , ,19.1, , , , , , , , , , , 
516,Namibia, , ,21.8, , , , , , , ,23.9, , , , , , ,20.7, , , , , 
520,Nauru, , , , , , , , , , , , , , , , , ,23.5, , , , , 
524,Nepal, , ,27.7, , , ,32.4, , , , ,27.8, , , , ,24.7, , , , ,27.5, 
558,Nicaragua, , , ,23.9, , , , ,17.9, , ,14.6, , , , , ,10.7, , , , , 
562,Niger, , ,18.7, , , , , ,17.7, , , , , , , ,16.1, , , , , , 
566,Nigeria,21.5, , , , , , , , ,20, , , ,17.5, , , , ,20.2, , ,18.9, 
586,Pakistan, ,30.5, , , , , ,37.5, , , ,33, , , , , ,25.2, , , , , 
598,Papua New Guinea, , , , , , , , , , , , , , , , , ,27.4, , , , , 
600,Paraguay,17.4, , , , , ,19.2, ,17.3, , , , , ,6.6, , , ,4.7, , , , 
604,Peru, , ,21.6, , , ,17.7, , , ,14.4, , , , , , , ,12.6,7.2,6.9,6.1, 
