CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2006,2007,2008,2009,2010,2011,2012
8,Albania, , , , , , , , , , , , , , , , , , ,25.3, , , 
84,Belize, , , , , , , , , , , , , , , ,49.5, , , , ,64.6, 
204,Benin, , , , , , ,9.3, , , , ,18.7, , , ,27.7, , , , , , 
64,Bhutan, , , , , , , , , , , , , , , , , , , ,61.6, , 
68,Bolivia, , , , , , , , , , , , , ,20, , , , , , , , 
70,Bosnia and Herzegovina, , , , , , , , , , , , , , , ,71, , , ,71.4, , 
72,Botswana, , , , , , , , , , , ,75.3, , , , , , , , , , 
76,Brazil, , , , , , ,32.1, , , , , , , , , , , , , , , 
100,Bulgaria, , , , , , , , , , , , , , , , , , , , , , 
854,Burkina Faso, , , , , , , , , ,41.2, , , ,53.8, ,63.7, , , ,61, , 
108,Burundi, , , , , , , , , , , , , , , , , , , ,26.3, , 
116,Cambodia, , , , , , , , , , , , , , , , , , , ,57.4, , 
120,Cameroon, , , , , , , , ,16.4, , , , , ,46.5,61.8, , , , ,56.9, 
132,Cape Verde, , , , , , , , , , , , , , , , , , , , , , 
140,Central African Republic, , , , , , , , , , , , , , , ,40.6, , , ,54.5, , 
148,Chad, , , , , , , , , , , , , , ,17.2, , , , ,1.3, , 
170,Colombia, , , , , , , , , , ,29.5, , , , , , , , ,45.4, , 
178,Congo, , , , , , , , , , , , , , , , , , , , , , 
384,Cote d'Ivoire, , , , , , , , , ,24.7, , , , , , , , , , , , 
192,Cuba, , , , , , , , , , , , , , , , , , , ,70.6, , 
180,Democratic Republic of the Congo, , , , , , , , , , , , , , , , ,17, , ,6, , 
262,Djibouti, , , , , , , , , , , , , , , , , , , , , , 
214,Dominican Republic, , , , , , ,11.7, , , , , ,29.2, , , ,43.9, , , , , 
231,Ethiopia, , , , , , , , , , ,17.1, , , , , , , , , ,32.5, 
266,Gabon, , , , , , , , , , ,33, , , , , , , , , , , 
270,Gambia, , , , , , , , , , , , , , , ,54.3, , , , , , 
288,Ghana, , , , , , , , , , , , , ,32.7, ,41.6, ,28.2, , , , 
324,Guinea, , , , , , , , , ,16.7, , , , , , , , , , , , 
624,Guinea-Bissau, , , , , , , , , , , , , , , ,38.8, , , ,46.7, , 
328,Guyana, , , , , , , , , , , , , , , , , , ,55.8, , , 
332,Haiti, , , , , , , , , , ,19.1, , , , ,29.2, , , , , , 
340,Honduras, , , , , , , , , , , , , , , ,23.7, , , , , , 
356,India, , , , , , , , , , , ,51, , , ,22.2, , , , , , 
398,Kazakhstan, , , , , , , , , ,31.8, , , , , , , , , , ,69.9, 
404,Kenya, , , , , , , , ,14.1, , , , ,25.4, , , , ,39.5, , , 
417,Kyrgyzstan, , , , , , , , , , , , , , , ,56, , , , , , 
426,Lesotho, , , , , , , , , , , , , , ,50.1, , , ,65.7, , , 
430,Liberia, , , , , , , , , , , , , , , , ,13.8, , , , , 
450,Madagascar, , , , , , , , , , , , , , ,5.4, , , , , , , 
454,Malawi, , , , , , , , , , ,31.9, , , ,35.2,39.5, , , ,45.9, , 
466,Mali, , , , , , , , , , , ,14.2, , , ,16.5, , , ,15.2, , 
584,Marshall Islands, , , , , , , , , , , , , , , , ,8.9, , , , , 
496,Mongolia, , , , , , , , , , , , , , , , , , , ,53.8, , 
499,Montenegro, , , , , , , , , , , , , , , , , , , , , , 
508,Mozambique, , , , , , , , , , , , , ,29.1, , , ,44.4,44.4, , , 
516,Namibia, , , , , , , , , , ,47.9, , , , , ,64.2, , , , , 
520,Nauru, , , , , , , , , , , , , , , , ,9.8, , , , , 
558,Nicaragua, , , , , , , , , , , ,17, , , , , , , , , , 
562,Niger, , , , , , , , ,7, , , , , , ,17.8, , , , , , 
566,Nigeria, , , , , , , , , , , , , ,24, , , ,35.5, , , , 
598,Papua New Guinea, , , , , , , , , , , , , , , ,34.9, , , , , , 
604,Peru, , , , , , , , , , ,19.3, , , , ,34.2, , ,35.8,33.3, , 
608,Philippines, , , , , , , , , , , , , ,11, , , ,13, , , , 
498,Republic of Moldova, , , , , , , , , , , , , , , , , ,60, , , , 
646,Rwanda, , , , , , , , , , ,22.5, , , , , , , , ,40.7, , 
678,Sao Tome and Principe, , , , , , , , , , , , , , , ,56.3, , ,54.4, , , 
686,Senegal, , , , , , , , , , , , , , , , , , , , , , 
688,Serbia, , , , , , , , , , , , , , , , , , , ,77.1, , 
694,Sierra Leone, , , , , , , , , , , , , , , , , ,9.6, ,12.2, , 
90,Solomon Islands, , , , , , , , , , , , , , , , ,16.5, , , , , 
710,South Africa, , , , , , , , ,19.8, , , , ,51.7, , , , , , , , 
740,Suriname, , , , , , , , , , , , , , , ,48.9, , , ,55.5, , 
748,Swaziland, , , , , , , , , , , , , , , , ,54.2, , ,73.1, , 
807,Macedonia, , , , , , , , , , , , , , , ,69.8, , , , , , 
768,Togo, , , , , , , , ,21.5, , , , , , ,49.9, , , ,58.8, , 
780,Trinidad and Tobago, , , , , , , , , , , , , , , ,51.2, , , , , , 
798,Tuvalu, , , , , , , , , , , , , , , , ,, , , , , 
800,Uganda, , , , , ,24.8, , , , , ,44, , , ,38.4, , , , ,31.9, 
804,Ukraine, , , , , , , , , , , , , , , , ,68.4, , , , , 
834,Tanzania, , , , , , ,18.4, , ,21.3, , , , ,41.7, , ,46.3, ,48.4, , 
860,Uzbekistan, , , , , , , , , , , , , , , ,60.5, , , , , , 
894,Zambia, , , , , , ,20.3, , , ,38, ,33.3,34.7, , ,38, ,33.3, , , 
716,Zimbabwe, , , , ,42.3, , , , ,42, , , , , ,42.4, , , , ,48, 
