CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,33,39,43,47,51,53,56,57,57,56,53,51,48,45,43,41,39,38,38,38,38,39
8,Albania,1.6,1.6,1.5,1.4,1.3,1.3,1.2,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2
12,Algeria,9.9,8.7,8.1,11,9.7,9.2,11,12,9.7,11,13,12,12,13,12,14,13,13,11,13,13,13
16,American Samoa,5,0.1,,1.6,1.8,2.4,2.9,3.3,0.9,1.6,0.8,0.8,,0.6,1.9,2.5,1.1,0.4,0.4,1.1,1.2,1.3
20,Andorra,2.5,2.3,2.1,2,1.8,1.6,1.5,1.3,1.2,1,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.3
24,Angola,35,39,42,44,45,46,45,44,43,40,37,33,29,26,24,22,22,23,24,27,30,37
660,Anguilla,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,0.1,1,0.7,0.6,0.5,0.6,0.7,1,1.2,1.4,1.6,1.6,1.6,1.5,1.5,0.1,0.1,1.4,1.3,1.2,0.1,1
32,Argentina,4,3.8,3.7,3.5,3.3,3.2,3,2.9,2.7,2.5,2.4,2.3,2.2,2.1,2,1.9,1.8,1.8,1.7,1.6,1.5,1.4
51,Armenia,4.3,4.5,4.8,5,5.3,5.6,5.8,6,6.2,6.4,6.7,7,7.5,7.8,8.1,8.3,8.5,8.6,8.7,8.8,8.8,8.8
533,Aruba,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
36,Australia,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
40,Austria,1.9,1.7,1.5,1.4,1.3,1.2,1.1,1.1,1,1,0.9,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4
31,Azerbaijan,9.7,12,15,17,19,20,22,23,23,23,22,20,18,16,13,11,8.7,7.2,5.9,4.9,4.2,3.6
