CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
8,Albania,24,24,24,24,24,24,24,24,26,27,23,21,22,20,20,19,17,16,16,15,14,13
12,Algeria,66,62,61,70,69,68,76,81,74,79,87,84,86,88,87,93,90,90,85,89,90,90
16,American Samoa,26,8.3,2.7,10,10,12,13,15,7.2,9.4,6.9,6.8,4.5,6.6,11,13,8.3,6.1,6,7.9,7.8,7.8
20,Andorra,50,47,43,40,36,33,30,27,24,20,17,15,15,14,13,12,11,10,9.4,8.4,7.2,5.9
24,Angola,205,209,214,218,222,226,231,236,240,245,250,255,260,265,270,276,281,287,292,298,304,310
660,Anguilla,24,24,24,24,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,21,21,21
28,Antigua and Barbuda,2.9,3.6,4.1,4.6,4.9,5.1,5,4.8,4.6,4.6,4.6,4.6,4.5,4.4,4.3,4.1,4.2,4.4,4.8,5.4,6,6.9
32,Argentina,60,57,55,53,51,49,47,45,44,42,40,39,37,36,35,33,32,31,30,28,27,26
51,Armenia,17,21,25,29,34,39,44,50,55,58,61,65,69,73,75,77,77,76,73,69,62,55
533,Aruba,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
36,Australia,6.5,6.6,6.7,6.7,6.7,6.7,6.6,6.6,6.5,6.3,6.1,6,5.9,5.9,5.9,6,6.1,6.1,6.1,6.1,6.1,6
40,Austria,22,21,21,20,20,20,19,19,18,17,16,15,15,14,13,12,11,9.9,8.6,7.1,5.5,3.7
31,Azerbaijan,305,383,458,526,587,636,677,707,719,710,682,632,566,495,416,334,271,225,185,154,131,113
44,Bahamas,21,23,25,27,29,29,30,30,30,28,26,24,21,19,18,17,16,16,15,14,14,13
48,Bahrain,36,29,23,19,16,14,14,15,18,23,30,34,39,42,43,42,41,38,35,30,25,18
50,Bangladesh,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
52,Barbados,2.5,2.3,2.1,1.9,1.8,1.7,1.6,1.5,1.5,1.8,2.3,3,3.8,4.4,4.7,4.8,4.6,4.1,3.4,2.4,1.2,
112,Belarus,34,42,49,56,62,68,74,80,84,85,84,82,77,74,73,72,71,71,70,70,70,70
56,Belgium,18,17,17,16,16,16,15,15,14,14,14,13,13,13,12,12,11,10,9.8,9.2,8.7,8.1
84,Belize,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
204,Benin,128,121,114,108,103,100,97,94,92,89,86,83,80,78,76,74,70,69,71,70,69,70
60,Bermuda,3.5,4.6,5.3,5.6,5.5,5.2,4.1,2.5,1.3,0.8,0.7,1.7,3.3,4.6,5.3,5.9,6,5.6,4.9,3.7,2.2,0.3
64,Bhutan,784,733,686,641,600,561,525,491,459,429,402,376,351,329,307,287,269,251,235,220,206,192
68,Bolivia,251,244,236,229,222,215,209,202,196,190,184,179,173,168,163,158,153,148,144,140,135,131
70,Bosnia and Herzegovina,94,92,93,92,89,84,83,81,79,71,63,58,56,55,53,52,52,51,51,50,50,49
72,Botswana,533,612,683,748,804,855,900,931,941,938,918,882,845,810,773,733,690,645,596,545,503,455
76,Brazil,84,81,78,76,73,71,69,67,64,62,60,58,57,55,53,51,50,48,46,45,43,42
