CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,18,87,,,,,,3.2,7.5,7.9,16,23,30,28,36,42,47,52,50,44,47,46
8,Albania,81,78,,,91,84,97,87,87,87,87,87,87,86,86,86,86,86,86,93,97,100
12,Algeria,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,67
16,American Samoa,75,75,75,75,75,,0,75,75,75,75,75,75,75,75,75,75,75,75,75,75,55
20,Andorra,87,94,84,62,100,,87,110,53,78,110,98,50,100,72,110,130,59,51,110,120,59
24,Angola,48,50,48,33,27,19,54,50,45,43,46,59,78,88,82,82,110,82,85,75,77,78
660,Anguilla,0,0,0,,,88,,0,,,,0,0,0,0,,0,0,,,31,0
28,Antigua and Barbuda,56,0,230,,,0,85,120,120,87,110,28,110,28,,170,110,52,24,64,110,97
32,Argentina,63,64,68,77,78,79,80,78,78,77,79,79,82,78,80,76,75,80,78,68,66,90
51,Armenia,97,100,27,59,67,79,66,67,80,83,71,70,68,69,72,93,74,72,74,74,73,74
533,Aruba,,,,,,,,,,,,,,,,,,,,,87,120
36,Australia,91,83,86,83,88,88,,94,74,91,90,85,88,81,89,85,92,86,92,91,88,90
40,Austria,92,87,84,79,80,96,85,93,90,79,91,82,88,84,84,92,93,98,,74,78,130
31,Azerbaijan,12,9.9,8.3,7.6,6.3,3.3,4.7,8.3,8.2,8.2,9.4,9.5,11,9.3,15,21,24,28,39,52,53,62
44,Bahamas,86,87,93,82,99,69,69,100,87,92,110,,68,64,94,88,110,90,97,93,66,90
48,Bahrain,67,98,120,120,,55,62,50,76,99,110,86,77,97,85,92,84,84,83,92,79,95
50,Bangladesh,21,23,13,21,19,21,24,23,26,28,26,26,27,29,32,39,45,46,46,49,46,45
52,Barbados,77,84,110,,,67,72,130,180,41,49,75,48,,150,,40,140,33,31,180,
112,Belarus,86,88,48,72,68,69,74,73,72,86,81,67,67,69,76,75,74,78,75,78,74,70
56,Belgium,89,85,79,91,95,88,88,85,83,79,92,96,89,77,88,88,90,87,78,82,88,81
84,Belize,75,110,81,96,69,110,110,120,130,110,110,130,130,92,76,91,74,54,74,72,120,58
204,Benin,34,36,42,41,38,43,42,41,42,47,48,48,51,53,56,58,65,63,65,65,62,67
60,Bermuda,0,110,120,,,130,0,260,0,0,0,0,0,,180,,77,,,,71,590
64,Bhutan,26,24,3.7,3.2,37,45,47,47,52,49,50,47,51,50,50,53,51,58,58,72,88,87
68,Bolivia,67,68,58,53,58,90,64,62,65,64,66,69,68,66,67,67,63,61,66,65,62,64
70,Bosnia and Herzegovina,100,92,16,20,52,76,81,100,99,110,110,110,79,84,120,110,91,120,90,91,71,74
72,Botswana,40,38,42,41,38,42,45,47,50,53,58,61,67,67,71,73,65,64,76,77,70,71
76,Brazil,60,69,71,,65,79,77,75,87,74,74,72,80,81,89,84,83,82,82,86,88,91
92,British Virgin Islands,,,,,,,,110,,,55,66,82,100,250,0,,0,,,230,0
96,Brunei Darussalam,80,,100,87,,,,69,,100,110,79,89,84,75,72,91,92,96,87,90,81
100,Bulgaria,78,73,74,69,110,62,59,68,85,74,72,84,73,68,70,78,81,78,87,86,84,83
854,Burkina Faso,18,18,,17,9.8,29,24,21,23,25,27,28,27,30,33,39,41,42,45,50,51,55
