CountryCode,Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
4,Afghanistan,,,, ,33,86,85,84,87,86,89,90,84,87,88,86,90
8,Albania,,,,,,,,91,84,88,75,79,90,85,91,89,91
12,Algeria,78,,86,86,70,87,87,84,89,90,91,87,91,90,90,91,89
16,American Samoa,,100,,,50,100,100,100,100,100,67,75,,,,100,
20,Andorra,,,,,100,67,50,100,100,100,100,80,75,100,100,100,
24,Angola,,,,15,68,,68,68,74,71,69,72,18,74,70,72,48
660,Anguilla,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,,,,,50,50,100,100,100,,100,50,,50,100,67,33
32,Argentina,9,12,23,42,55,55,47,61,58,66,58,53,63,62,44,46,48
51,Armenia,,55,77,82,81,88,87,90,79,77,70,72,69,70,73,73,72
533,Aruba,,,,,,,,,,,,,,,,0,
36,Australia,,,55,60,72,81,72,70,78,80,,80,85,85,80,80,80
40,Austria,,82,84,79,80,77,73,64,78,68,69,75,71,,47,66,65
31,Azerbaijan,,65,87,89,84,83,90,77,83,70,56,59,60,58,56,62,77
44,Bahamas,,,0,77,72,66,,64,59,62,62,57,75,63,74,81,68
48,Bahrain,,,21,,13,95,73,87,88,97,82,93,86,14,8,98,96
50,Bangladesh,73,71,63,73,77,79,81,83,84,85,90,91,92,92,91,92,92
52,Barbados,,,100,83,,,,,,100,,91,100,100,100,100,100
112,Belarus,,,85,,,,,,,73,74,,70,74,71,64,66
56,Belgium,,,,,,60,66,64,69,73,72,66,73,68,76,76,75
84,Belize,72,52,,,,88,78,66,85,89,60,75,,46,83,,0
204,Benin,74,71,72,72,76,77,78,79,80,81,83,87,86,87,89,90,91
60,Bermuda,,,,,,,,,,,,,,,,0,0
64,Bhutan,71,97,96,85,90,85,90,93,86,90,83,91,89,93,91,92,90
68,Bolivia,66,62,71,77,62,74,79,82,84,81,80,78,83,85,84,86,88
70,Bosnia and Herzegovina,95,97,57,90,88,90,94,98,95,94,98,97,97,97,92,99,98
72,Botswana,72,67,70,70,47,71,77,78,71,77,65,70,72,73,65,79,81
76,Brazil,70,17,20,27,40,78,71,55,80,77,76,76,73,72,71,72,74
92,British Virgin Islands,,,,,,,0,,0,,100,,,,,100,
96,Brunei Darussalam,,,,,85,76,63,56,84,60,71,71,84,76,87,71,81
100,Bulgaria,,,,,,,,87,84,91,80,86,80,79,85,85,86
854,Burkina Faso,,25,29,61,59,61,60,65,64,66,67,71,73,72,76,76,77
108,Burundi,44,45,,67,74,,80,80,79,79,78,79,83,86,90,90,92
116,Cambodia,84,91,94,91,95,93,91,92,92,93,91,93,93,94,95,95,94
