CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
4,Afghanistan,2677,2494,1426,1375,1320,1269,1199,1115,1056,832,781,645,359,583,733,1016,1338,1991,3927,6524,8236
8,Albania,7488,3971,2387,2343,1929,2087,2017,1544,1753,2985,3022,3223,3751,4294,4166,4254,3865,4056,4129,3880,4283
12,Algeria,78896,81459,82262,82474,86351,94693,96567,88195,107080,92119,87931,84293,90854,92533,89493,107128,103963,112339,114619,124586,123475
20,Andorra, , , , , ,407,425,458,484,513,524,524,532,535,565,576,546,539,539,517,517
24,Angola,4430,4367,4419,5801,3891,11012,10491,7382,7308,9156,9542,9732,12666,9065,18793,19156,22266,25152,26597,27836,30418
660,Anguilla, , , , , , , ,18,26,26,33,37,37,40,44,51,51,59,59,59,66
28,Antigua and Barbuda,301,293,293,308,312,323,323,337,334,348,345,345,363,389,407,411,425,444,458,499,513
32,Argentina,112614,117021,121447,118609,123351,122547,129218,134678,137674,145488,141077,132632,123266,133127,156170,160952,174238,180416,190057,179639,180512
51,Armenia, , ,4052,2897,2967,3491,2607,3278,3407,3058,3465,3542,3044,3429,3645,4360,4382,5068,5556,4353,4221
533,Aruba,1841,1929,1723,1771,1764,1782,1811,1852,1668,1683,2233,2237,2255,2255,2259,2274,2274,2358,2288,2296,2321
36,Australia,287331,281530,294456,302117,303958,307434,329260,333624,346913,325523,329605,324860,341002,346476,348757,362685,371214,377235,387635,395094,373081
40,Austria,60726,65603,60542,60282,61103,61730,63025,63901,65566,63798,63696,65716,67179,72317,71866,74238,71565,69141,68269,62262,66897
31,Azerbaijan, , ,57682,49365,42673,33480,31514,29809,31676,28577,29508,28771,29615,30616,32090,34338,39167,41426,45702,42629,45731
44,Bahamas,1951,1782,1793,1701,1687,1683,1668,1364,1679,1676,1668,1569,1577,1518,1723,1599,1522,1547,1045,1643,2464
48,Bahrain,11885,11503,10590,15141,15255,16021,15621,17319,18405,18020,18643,13927,15698,16468,17510,19208,19497,22398,24301,24169,24202
50,Bangladesh,15533,15940,17748,17407,18969,22816,24030,25064,24048,25236,27869,32457,33707,33883,39750,37554,48137,48467,46435,52328,56153
52,Barbados,1074,1206,979,1115,748,829,851,902,1140,1210,1188,1221,1228,1269,1294,1353,1371,1426,1635,1624,1503
112,Belarus, , ,87487,74451,65914,62119,60157,59519,57598,55819,53469,52596,52390,53722,58038,59064,61829,60282,62816,60293,62222
56,Belgium,108470,117579,114374,108925,113307,112977,119625,116295,119185,115844,115709,114766,107531,114836,111282,108525,106834,103215,103882,104194,108947
84,Belize,312,359,356,378,374,378,308,389,370,601,689,711,359,374,381,396,407,425,407,414,422
204,Benin,715,829,906,1133,1265,1327,1265,1217,1214,1562,1617,1738,2054,2321,2512,2398,3876,4499,4492,4756,5189
60,Bermuda,598,510,407,480,473,466,477,477,462,495,495,495,524,510,671,444,521,517,389,466,477
64,Bhutan,128,187,216,187,213,249,304,396,385,385,400,389,418,378,308,396,392,392,422,389,477
68,Bolivia,5504,5779,6648,8038,8907,9424,8735,9842,10326,10312,10224,9824,9567,14129,13084,12325,14910,12757,13773,14408,15456
70,Bosnia and Herzegovina, , ,4136,2948,3231,3429,6051,14606,18812,18089,23223,20700,22919,23238,24617,25618,27169,27884,30997,30590,31125
72,Botswana,2178,2149,3297,3509,3509,3524,3139,3212,3832,3546,4276,4334,4485,4265,4378,4613,4646,4701,4980,4397,5233
76,Brazil,208887,219331,220706,230739,242154,258347,284783,300547,312289,320173,327984,337434,332267,321622,337826,347309,347668,363213,387675,367147,419754
92,British Virgin Islands,48,48,51,51,51,51,59,59,59,59,59,59,66,77,84,88,99,103,106,110,117
96,Brunei Darussalam,6421,5816,5809,5589,5409,5515,5596,5812,5985,4598,6527,6197,5321,5357,5361,5126,4822,10176,10583,9094,9160
100,Bulgaria,75764,58177,54459,68078,54345,58005,56560,51617,48998,43982,43531,46454,44635,47308,46787,47909,48943,52812,50792,42805,44679
854,Burkina Faso,587,627,631,627,645,627,708,807,862,931,1041,997,1005,1078,1104,1126,1360,1646,1698,1665,1683
108,Burundi,304,345,319,337,341,334,330,315,301,293,301,216,220,165,198,154,187,191,249,180,308
116,Cambodia,451,462,477,477,539,1551,1617,1540,1951,1896,1977,2252,2208,2380,2446,2776,3000,3484,3975,4052,4180
