CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
4,Afghanistan,0.2054,0.1773,0.0922,0.0806,0.0711,0.0641,0.058,0.0523,0.0485,0.0374,0.0342,0.0272,0.0146,0.0227,0.0275,0.0368,0.0471,0.0683,0.1316,0.2134,0.2622
8,Albania,2.2763,1.2064,0.7306,0.7265,0.6067,0.6644,0.648,0.4994,0.5693,0.9715,0.9838,1.0473,1.214,1.3822,1.3332,1.354,1.2244,1.2796,1.2979,1.2153,1.3366
12,Algeria,3.1185,3.1414,3.0975,3.0355,3.1116,3.347,3.3546,3.0159,3.6086,3.0605,2.8798,2.7207,2.8896,2.8995,2.7625,3.2573,3.1134,3.3132,3.3292,3.5647,3.4813
20,Andorra, , , , , ,6.2907,6.5157,7.0565,7.5335,8.0175,8.1072,7.8928,7.7053,7.4097,7.5041,7.3952,6.8358,6.6224,6.5272,6.1785,6.0921
24,Angola,0.4286,0.4099,0.4016,0.5101,0.3313,0.9097,0.8425,0.5771,0.5562,0.6776,0.6852,0.6764,0.8506,0.5879,1.1777,1.1617,1.309,1.4352,1.4745,1.5002,1.5941
660,Anguilla, , , , , , , ,1.7571,2.4854,2.4238,2.9816,3.218,3.0826,3.1878,3.3631,3.7572,3.6408,4.0992,4.0035,3.919,4.2974
28,Antigua and Barbuda,4.8391,4.669,4.5923,4.7212,4.664,4.7056,4.5848,4.6597,4.502,4.5799,4.4427,4.358,4.5089,4.7604,4.9132,4.8978,5.0028,5.1667,5.2716,5.6832,5.7829
32,Argentina,3.4499,3.5361,3.621,3.4903,3.5837,3.5159,3.6619,3.7709,3.81,3.9815,3.82,3.5556,3.2734,3.5032,4.0732,4.161,4.4649,4.5828,4.7856,4.484,4.4668
51,Armenia, , ,1.1745,0.8595,0.9017,1.0831,0.8218,1.0457,1.0958,0.9894,1.1264,1.1553,0.9944,1.1204,1.1902,1.4221,1.4274,1.6486,1.8044,1.411,1.3651
533,Aruba,29.6233,29.8413,25.2321,24.403,22.9801,22.1854,21.8012,21.747,19.2106,19.0294,24.7366,24.2197,23.8382,23.2774,22.8076,22.5157,22.1398,22.6241,21.6819,21.536,21.5931
36,Australia,16.8068,16.254,16.7978,17.0424,16.9602,16.968,17.9731,18.0092,18.517,17.1799,17.1989,16.7607,17.3945,17.4634,17.3478,17.7756,17.8948,17.8615,18.018,18.0389,16.7538
40,Austria,7.9168,8.4983,7.7835,7.6894,7.7402,7.7788,7.9173,8.0161,8.2203,7.99,7.9573,8.1752,8.3111,8.8904,8.7796,9.018,8.6502,8.3204,8.184,7.439,7.97
31,Azerbaijan, , ,7.7468,6.528,5.5638,4.3118,4.0169,3.7668,3.9716,3.5547,3.6381,3.5123,3.5766,3.6549,3.7843,3.9984,4.5011,4.6963,5.11,4.7018,4.9774
44,Bahamas,7.6173,6.8316,6.7467,6.2837,6.1251,6.0156,5.8799,4.749,5.7783,5.7009,5.6039,5.2022,5.1569,4.8936,5.4744,5.0069,4.6966,4.7041,3.1319,4.8558,7.1863
48,Bahrain,24.1128,22.7025,20.3773,28.4412,27.9739,28.6566,27.171,29.2064,30.1111,28.7508,29.2122,21.6759,24.449,25.4464,26.0659,26.5008,24.0285,24.1949,23.0919,20.6647,19.18
50,Bangladesh,0.1476,0.1479,0.161,0.1545,0.1649,0.1942,0.2004,0.2048,0.1927,0.1984,0.2151,0.246,0.251,0.2482,0.2867,0.2671,0.3382,0.3367,0.3192,0.3559,0.3776
52,Barbados,4.1387,4.6322,3.749,4.2576,2.848,3.1471,3.2206,3.4026,4.2867,4.5359,4.4409,4.5527,4.5682,4.7107,4.7935,5.0018,5.0579,5.25,6.0071,5.9542,5.4988
112,Belarus, , ,8.4951,7.2273,6.4037,6.0461,5.8722,5.8327,5.6705,5.5225,5.3162,5.2544,5.2583,5.4167,5.879,6.0115,6.324,6.1966,6.4888,6.257,6.4846
