CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
4,Afghanistan, , , , , , , , , , , , ,0.0213,0.0318,0.0396,0.0494,0.0616,0.0806,0.1534,0.2106,0.2451
8,Albania,0.5822,0.4385,0.284,0.2544,0.1934,0.1846,0.1636,0.1394,0.1405,0.2172,0.205,0.2043,0.2311,0.2503,0.2293,0.2219,0.192,0.1903,0.1799,0.1636,0.1745
12,Algeria,0.5021,0.5247,0.5205,0.533,0.5631,0.5949,0.5828,0.5265,0.6082,0.507,0.4735,0.4424,0.4555,0.4339,0.3989,0.4544,0.4323,0.4535,0.4519,0.4797,0.4602
24,Angola,0.1386,0.1383,0.1503,0.262,0.1698,0.4352,0.3729,0.2432,0.2254,0.2735,0.2767,0.2736,0.311,0.2155,0.4018,0.3463,0.3334,0.3072,0.2854,0.2917,0.3082
28,Antigua and Barbuda,0.33,0.3148,0.3122,0.3114,0.2967,0.3205,0.3003,0.2987,0.2835,0.2837,0.2676,0.2762,0.2825,0.284,0.2832,0.2695,0.2455,0.2339,0.2412,0.2982,0.3329
32,Argentina,0.4626,0.4266,0.3955,0.3647,0.3584,0.3665,0.3662,0.353,0.3475,0.3801,0.3715,0.3654,0.3811,0.3782,0.4069,0.3841,0.3833, , , , 
51,Armenia, , ,0.7571,0.5935,0.5767,0.6348,0.4478,0.5449,0.5279,0.4587,0.4907,0.4579,0.3477,0.3434,0.3305,0.3471,0.3082,0.3134,0.3214,0.2933,0.2786
36,Australia,0.7057,0.6939,0.7226,0.7121,0.6885,0.6697,0.6897,0.6726,0.6691,0.5982,0.5833,0.5642,0.5699,0.5614,0.5425,0.5468,0.5431,0.5318,0.5266,0.5295,0.4886
40,Austria,0.3109,0.3247,0.2935,0.2907,0.2878,0.2832,0.2822,0.2796,0.2764,0.2598,0.2502,0.2559,0.2573,0.2746,0.266,0.2683,0.2495,0.2324,0.2263,0.2145,0.2258
31,Azerbaijan, , ,2.2052,2.4541,2.6419,2.3501,2.1837,1.9523,1.886,1.5842,1.4724,1.3063,1.2158,1.1303,1.075,0.9101,0.7718,0.6528,0.65,0.5547,0.5667
44,Bahamas,0.2629,0.2506,0.2622,0.248,0.2385,0.2279,0.2167,0.1736,0.2041,0.1902,0.1817,0.1666,0.163,0.1589,0.1788,0.1605,0.149,0.1493,0.1032,0.1706,0.2554
48,Bahrain,1.3464,1.1715,1.0109,1.2805,1.2934,1.307,1.2241,1.3164,1.335,1.2532,1.2313,0.8793,0.9416,0.9215,0.9278,0.9442,0.8982,0.9524,0.9721,0.9377,0.8986
50,Bangladesh,0.1975,0.1961,0.2079,0.195,0.2041,0.234,0.2356,0.2332,0.2126,0.2127,0.2218,0.2453,0.244,0.233,0.2572,0.2294,0.2757,0.2608,0.2353,0.2508,0.2537
52,Barbados,0.2571,0.2974,0.2541,0.2865,0.1849,0.2019,0.2035,0.2027,0.2461,0.2546,0.2443,0.2645,0.2758,0.2794,0.2748,0.2784,0.2728,0.2824,0.3232,0.339, 
112,Belarus, , ,1.4942,1.3761,1.3798,1.4512,1.3671,1.2142,1.084,1.0159,0.9198,0.864,0.8193,0.7848,0.7608,0.7074,0.6732,0.6041,0.571,0.5472,0.5243
56,Belgium,0.4336,0.4616,0.4422,0.4253,0.4285,0.4173,0.4357,0.4083,0.4105,0.3854,0.3713,0.3653,0.3377,0.3578,0.3357,0.3217,0.3085,0.2897,0.2887,0.2979,0.3041
84,Belize,0.3948,0.4112,0.3639,0.3636,0.3592,0.3607,0.2898,0.3534,0.324,0.4839,0.4907,0.4825,0.2318,0.2209,0.2151,0.217,0.2131,0.2196,0.2032,0.2067,0.2047
204,Benin,0.13,0.1446,0.1535,0.1813,0.1985,0.1963,0.1794,0.1632,0.1566,0.1913,0.1888,0.191,0.2162,0.2352,0.2468,0.2291,0.3569,0.3959,0.3764,0.3882,0.413
64,Bhutan,0.1326,0.1945,0.2148,0.1823,0.1979,0.216,0.2499,0.3089,0.2835,0.2626,0.2551,0.2293,0.2225,0.1869,0.1438,0.1726,0.1599,0.1356,0.1395,0.1204,0.1321
