CountryCode,Country,1990,1995,2000,2005,2007,2009
24,Angola, , , ,86.5,76.2,65.8
32,Argentina,30.5,31.7,32.9,26.2,23.5,20.8
50,Bangladesh,87.3,84.7,77.8,70.8,66.2,61.6
84,Belize, , , , ,18.7, 
204,Benin,79.3,76.8,74.3,71.8,70.8,69.8
68,Bolivia,62.2,58.2,54.3,50.4,48.8,47.3
76,Brazil,36.7,34.1,31.5,29,28,26.9
854,Burkina Faso,78.8,72.4,65.9,59.5,59.5, 
108,Burundi, , , ,64.3, , 
116,Cambodia, , , ,78.9, , 
120,Cameroon,50.8,49.6,48.4,47.4,46.6,46.1
140,Central African Republic,87.5,89.7,91.9,94.1,95,95.9
148,Chad,98.9,96.4,93.9,91.3,90.3,89.3
152,Chile, , , ,9, , 
156,China,43.6,40.5,37.3,32.9,31,29.1
170,Colombia,31.2,26.8,22.3,17.9,16.1,14.3
174,Comoros,65.4,65.4,65.4,68.9,68.9, 
178,Congo, , , ,53.4,51.7,49.9
188,Costa Rica, , , ,10.9, , 
384,Cote d'Ivoire,53.4,54.3,55.3,56.2,56.6,57
180,Democratic Republic of the Congo, , , ,76.4,69.1,61.7
214,Dominican Republic,27.9,24.4,21,17.6,16.2,14.8
218,Ecuador, , , ,21.5, , 
818,Egypt,50.2,39.2,28.1,17.1,14.4,13.1
222,El Salvador, , , ,28.9, , 
226,Equatorial Guinea, , , ,66.3, , 
231,Ethiopia,95.5,95.5,88.6,81.8,79.1,76.4
254,French Guiana, , , ,10.5, , 
266,Gabon, , , ,38.7, , 
270,Gambia, , , ,45.4,34.8, 
288,Ghana,65.5,58.8,52.1,45.4,42.8,40.1
308,Grenada, , , ,6, , 
312,Guadeloupe, , , ,5.4, , 
320,Guatemala,58.6,53.3,48.1,42.9,40.8,38.7
324,Guinea,80.4,68.8,57.3,45.7,45.7, 
624,Guinea-Bissau, , , ,83.1, , 
328,Guyana, , , ,33.7,33.5,33.2
332,Haiti,93.4,93.4,93.4,70.1,70.1,70.1
340,Honduras, , , ,34.9, , 
356,India,54.9,48.2,41.5,34.8,32.1,29.4
360,Indonesia,50.8,42.6,34.4,26.3,23,23
368,Iraq,16.9,16.9,16.9,52.8,52.8,52.8
388,Jamaica, , , ,60.5, , 
400,Jordan, , , ,15.8,17.7,19.6
404,Kenya,54.9,54.8,54.8,54.8,54.8,54.7
418,Lao People's Democratic Republic, , , ,79.3, , 
422,Lebanon, , , ,53.1, , 
426,Lesotho, , , ,35.1,44.4,53.7
430,Liberia, , , , , ,68.3
450,Madagascar,93,88.6,84.1,80.6,78,76.2
454,Malawi,66.4,66.4,66.4,66.4,67.7,68.9
466,Mali,94.2,84.8,75.4,65.9,65.9,65.9
484,Mexico,23.1,21.5,19.9,14.4,14.4, 
496,Mongolia,68.5,66.7,64.9,57.9,57.9, 
504,Morocco,37.4,35.2,24.2,13.1,13.1,13.1
508,Mozambique,75.6,76.9,78.2,79.5,80,80.5
104,Myanmar, , , ,45.6, , 
516,Namibia,34.4,34.1,33.9,33.9,33.6,33.5
524,Nepal,70.6,67.3,64,60.7,59.4,58.1
558,Nicaragua,89.1,74.5,60,45.5,45.5, 
562,Niger,83.6,83.1,82.6,82.1,81.9,81.7
566,Nigeria,77.3,73.5,69.6,65.8,64.2,62.7
586,Pakistan,51,49.8,48.7,47.5,47,46.6
591,Panama, , , ,23, , 
600,Paraguay, , , ,17.6, , 
604,Peru,66.4,56.3,46.2,36.1,36.1, 
608,Philippines,54.3,50.8,47.2,43.7,42.3,40.9
646,Rwanda,96,87.9,79.7,71.6,68.3,65.1
662,Saint Lucia, , , ,11.9, , 
682,Saudi Arabia, , , ,18, , 
686,Senegal,70.6,59.8,48.9,43.3,41.1,38.8
694,Sierra Leone, , , ,97, , 
706,Somalia, , , ,73.5,73.6,73.6
710,South Africa,46.2,39.7,33.2,28.7,23,23
740,Suriname, , , ,3.9, , 
760,Syrian Arab Republic, , , ,10.5,22.5, 
764,Thailand, , , ,26,26.5,27
768,Togo, , , ,62.1, , 
780,Trinidad and Tobago, , , ,24.7, , 
792,Turkey,23.4,20.7,17.9,15.5,14.1,13
800,Uganda,75,75,75,66.7,63.4,60.1
834,Tanzania,77.4,73.7,70.1,66.4,65,63.5
862,Venezuela, , , ,32, , 
704,Viet Nam,60.5,54.6,48.8,41.3,38.3,35.2
887,Yemen, , , ,67.2,76.8, 
894,Zambia,57,57.1,57.2,57.2,57.3,57.3
716,Zimbabwe,4,3.7,3.3,17.9,21,24.1
