CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan, , , , , , , , , , , ,16.67,32.52,33.49,40.46,41.57,36.08,48.91,45.1,49.57,42.38, 
51,Armenia, ,0.13,2.11,9.93,14.55,14.84,17.8,9.56,9.94,11.01,10.99,9.69,12.16,8.75,6.88,3.38,3.27,3.69,2.49,5.97,3.53,3.46
31,Azerbaijan, , , ,0.6,4.5,3.93,3.09,4.66,2.71,3.73,2.79,4.28,5.97,4.4,2.2,1.87,1.13,0.81,0.54,0.57,0.32,0.52
64,Bhutan,15.45,24.56,22.66,26.71,26.49,24.43,18.16,17.59,15.59,17.82,12.68,13.28,14.62,13.11,11.57,12.64,11.15,8.22,8.06,10.96,9.23,9.02
68,Bolivia,11.79,9.86,12.23,10.11,9.69,10.96,11.44,9.03,7.59,7.15,5.89,9.38,8.95,12.06,9.36,7.01,7.69,3.77,3.89,4.35,3.59,3.11
72,Botswana,3.94,3.27,2.61,2.92,2.07,1.89,1.64,2.41,2,1.09,0.58,0.49,0.69,0.38,0.55,0.51,0.66,0.92,5.62,2.43,1.06,0.73
854,Burkina Faso,10.55,13.43,19.41,20.21,23,20.68,16.15,15.07,14.27,13.25,6.9,14.46,13.38,12.67,12.59,12.79,15.43,14.07,11.99,12.98,12.05,9.72
108,Burundi,23.5,22.18,28.92,23.36,34.05,29.04,12.92,5.87,7.76,9.4,10.99,16.67,21.67,29.31,39.62,32.07,34.58,36.14,32.14,30.82,30.99,24.82
140,Central African Republic,16.99,12.49,12.52,13.42,20.13,15.24,16.08,9.22,11.66,11.32,7.95,7.96,5.83,4.51,8.66,6.59,9.07,10.5,13.12,12.26,13.17,12.58
148,Chad,18.05,13.99,12.56,15.39,18.43,16.31,18.52,14.91,10,12.24,9.6,11.18,11.9,11.12,9.08,8.99,5.92,6.17,6.31,8.4,6.19,5.54
231,Ethiopia,8.4,8.22,8.3,12.47,15.64,11.62,9.67,6.58,8.25,8.27,8.46,13.59,17.09,19.16,18.3,15.71,13.44,13.08,12.48,11.96,11.92,11.28
