CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,0.28,0.26,0.19,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.14,,,,,,0.02,0.05,0.04,0.04
8,Albania,1.22,1.26,1.37,1.33,1.31,1.34,2.05,2.81,3.76,4.57,4.97,6.42,7.12,8.21,8.79,8.88,8.11,9.46,10.8,11.37,10.39,10.54,9.67
12,Algeria,3.21,3.41,3.62,3.93,4.04,4.16,4.44,4.79,4.98,5.32,5.77,6.07,6.2,6.52,7.68,7.82,8.51,9.05,8.91,7.37,8.24,8.5,8.78
16,American Samoa,11.69,11.36,12.09,15.75,18.31,18.52,18.55,18.42,18.3,18,17.79,21.47,23.54,17.63,16.73,16.52,16.24,15.97,15.71,15.45,15.2,,14.15
20,Andorra,40.74,42.58,43.8,44.11,44.94,46.05,47.47,49.27,51.28,52.52,52.94,51.97,50.58,48.71,46.54,45.51,45.71,45.65,45.26,45.27,44.98,44.57,44.56
24,Angola,0.68,0.68,0.44,0.47,0.45,0.44,0.42,0.49,0.5,0.5,0.47,0.53,0.54,0.55,0.59,0.59,0.58,0.54,0.63,1.63,1.59,1.55,1.5
660,Anguilla,,32.85,34.49,36.82,39.6,41.82,44,52.93,52.7,54.42,55.68,53.93,48.32,43.37,43.38,40.67,41.58,41.83,42.45,41.63,40.9,39.9,37.71
28,Antigua and Barbuda,25.69,21.78,26.36,29.45,36.3,37.72,39.74,42.86,45.83,48.04,49.32,47.07,47.26,46.5,45.87,43.47,44.14,44.1,43.74,42.54,40.94,39.6,38.67
32,Argentina,9.27,9.46,10.72,11.72,14.49,16.39,17.75,19.11,19.64,19.77,21.38,21.8,20.47,22.64,22.85,24.41,24.24,24.13,24.53,24.38,24.25,24.29,24.31
51,Armenia,15.8,16.29,16.77,17.31,17.84,18.08,18.27,18.11,17.9,17.61,17.34,17.33,17.73,18.42,18.9,19.39,19.67,20.32,20.35,19.45,19.16,18.63,18.79
533,Aruba,30.11,29.39,29.87,28.94,28.01,33.99,40.42,39.01,40.38,41.33,42.21,40.2,39.25,38.6,38.37,37.88,37.63,37.04,36.45,34.42,32.6,,39.6
36,Australia,45.55,46.45,47.1,48.17,49.38,49.12,50.06,50.47,50.92,51.51,52.44,51.9,53.05,52.72,51.58,49.6,47.92,46.21,43.55,48.89,47.71,46.77,45.69
40,Austria,42.02,43.32,44.57,45.66,46.77,47.85,49.01,49.79,50.25,49.33,49.93,49.72,48.04,47.66,46.68,45.42,43.57,41,39.38,38.87,40.48,40.27,39.65
31,Azerbaijan,8.6,8.46,8.33,8.2,8.28,8.24,8.22,8.32,8.53,9.08,9.88,10.56,11.18,11.24,11.95,12.74,13.53,14.21,14.65,15.45,16.4,18.09,18.4
44,Bahamas,27.28,29.96,28.9,28.14,28.62,29.92,31.54,34.16,36.43,37.82,38.42,40.88,41.39,42.51,44.46,41.67,40.6,40.4,39.79,38.11,37.71,38.31,39
48,Bahrain,19.07,19.85,21.65,23.36,24.91,25.19,25.12,25.68,25.79,26.38,26.79,27.06,27.33,28.7,28.52,26.7,23.93,21.99,20.94,20.35,18.07,20.89,21.33
50,Bangladesh,0.21,0.21,0.21,0.22,0.23,0.24,0.26,0.3,0.33,0.34,0.38,0.43,0.45,0.54,0.6,0.76,0.8,0.82,0.92,0.84,0.86,0.65,0.63
52,Barbados,27.8,29.95,30.67,31.51,32.51,34.22,36.54,40.91,42.5,43.11,46.29,48.08,49.48,49.74,50.28,49.86,49.53,49.43,55.11,49.75,50.3,51.35,52.45
