CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.78,2.25,4.35,8.87,16.02,26.47,34.34,41.39,54.26,53.9
8,Albania,0,0,0,0,0,0,0.07,0.11,0.18,0.36,0.97,12.76,27.54,35.41,40.31,48.71,60.5,73.27,58.45,77.17,84.02,96.39,108.45
12,Algeria,0,0.02,0.02,0.02,0,0.02,0.04,0.06,0.06,0.24,0.28,0.32,1.43,4.53,15.07,41.54,62.88,81.29,78.52,93.65,92.42,98.99,103.31
16,American Samoa,0,0,1.41,1.77,2.31,2.36,2.41,2.55,2.69,3.18,3.46,3.68,3.41,3.46,3.64,,,,,,,,
20,Andorra,0,0,1.33,1.29,1.24,4.37,8.41,13.28,21.97,32.2,36.43,44.33,47.49,71.87,77.52,82.89,86.39,78.02,77.75,77.14,77.18,75.49,74.27
24,Angola,0,0,0,0.01,0.02,0.02,0.03,0.06,0.07,0.18,0.19,0.52,0.94,2.27,4.64,9.77,17.96,28.31,37.55,43.7,46.69,48.38,48.61
660,Anguilla,0,0,0,0,0,1.63,3.58,6.9,7.52,13.75,19.54,15.42,25.34,35.28,55.25,96.22,122.43,163.45,179.71,164.86,167.31,166.31,163.41
28,Antigua and Barbuda,0,,,,,,1.85,1.94,2.02,11.19,28.33,31.58,47.46,56.41,65.19,102.48,129.69,130.77,157.22,153.67,189.35,196.41,198.62
32,Argentina,0.04,0.08,0.14,0.33,0.7,1.16,1.89,5.63,7.39,10.53,17.57,18.07,17.44,20.64,35.24,57.28,80.75,102.63,117.11,131,132.88,134.92,142.51
51,Armenia,0,0,0,0,0,0,0.01,0.16,0.25,0.26,0.57,0.83,2.33,3.74,6.64,10.37,41.04,61.04,46.83,71.04,125.01,103.57,106.88
533,Aruba,0,0,0.03,,,2.14,3.61,3.99,6.2,13.57,16.62,57.38,65.33,72.21,99.34,102.4,106.15,108.98,114.48,120.06,122.62,,124.32
36,Australia,1.08,1.68,2.84,3.89,6.81,12.37,21.78,24.71,26.25,33.33,44.68,57.43,64.63,72.31,81.97,90.28,95.26,100.66,102.82,101.36,101.04,108.34,106.19
40,Austria,0.96,1.49,2.22,2.82,3.52,4.83,7.52,14.55,28.75,53.23,76.42,81.37,83.33,89.42,97.64,105.26,112.18,119.28,129.66,136.61,145.84,154.78,161.21
31,Azerbaijan,0,0,0,0,0.01,0.08,0.22,0.51,0.81,4.6,5.18,8.91,9.59,12.62,17.18,26.11,38.19,51.23,73.21,85.56,99.05,108.75,107.47
44,Bahamas,0.75,0.77,0.98,0.89,,1.47,1.74,2.16,2.78,5.41,10.59,20.08,39.82,39.4,59.1,71.32,78.07,113.73,107.31,106.05,124.94,86.06,72.31
48,Bahrain,1.04,1.45,1.86,2.13,3.23,4.94,6.97,9.87,15.06,21.29,32.24,46.63,60.58,68.47,96.73,105.84,111.83,120.55,136.91,119.87,124.18,127.96,156.23
50,Bangladesh,0,0,0,0,0,0,0,0.02,0.06,0.12,0.22,0.39,0.8,1,2.01,6.4,13.44,23.88,30.68,34.93,45.68,56.06,63.76
52,Barbados,0,0.19,0.3,0.6,1.13,1.75,2.38,3.02,4.51,7.61,10.64,19.8,36.16,51.97,74.14,76.22,87.48,94.84,106.06,123.58,128.07,127.01,126.4
112,Belarus,0,0,0,0,0.02,0.06,0.06,0.08,0.12,0.23,0.49,1.38,4.64,11.27,22.68,41.72,60.96,71.54,83.96,100.52,107.69,111.88,112.06
56,Belgium,0.43,0.52,0.61,0.68,1.27,2.33,4.74,9.64,17.34,31.4,55.32,75.38,79.01,83.53,88.17,92.23,94.01,101.89,106.98,110.45,113.46,120.49,119.39
84,Belize,0,0,0,0.19,0.39,0.7,0.96,1.09,1.48,2.7,6.71,15.26,19.69,22.47,27.29,34.17,41.11,40.36,53.48,52.97,62.32,69.96,50.62
204,Benin,0,0,0,0,0,0.02,0.05,0.07,0.1,0.11,0.85,1.86,3.15,3.3,6.21,7.81,13.41,25.29,43.39,58.52,79.94,85.33,89.91
60,Bermuda,1.86,2.39,3.2,5.59,8.39,10.3,12.93,16.58,20.19,20.46,20.69,21.13,47.33,62.84,76.68,82.21,93.43,106.97,122.18,131.17,135.82,,139.55
64,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,2.98,5.46,12.17,21.7,36.13,47.49,54.32,65.58,74.74
68,Bolivia,0,0,0.02,0.04,0.06,0.1,0.44,1.52,3,5.16,7.01,9.2,11.84,14.51,20.05,26.47,30.9,34.39,52.38,66.14,72.3,82.82,92.64
70,Bosnia and Herzegovina,0,0,0,0,0,0,0.05,0.27,0.72,1.46,2.53,11.86,19.83,28.41,37.22,42.17,49.92,64.84,84.23,86.45,82.72,84.52,89.53
72,Botswana,0,0,0,0,0,0,0,0,0.9,5.32,12.64,18.62,18.38,24.31,28.23,30.06,43.3,59.75,76.01,94.58,117.76,142.82,150.09
76,Brazil,0,0,0.02,0.12,0.36,0.79,1.52,2.73,4.35,8.74,13.29,16.25,19.46,25.53,35.68,46.35,53.16,63.74,78.65,87.65,101.02,119.17,125.19
92,British Virgin Islands,0,,,,,,6.37,,,,,,37.81,,,,,91.96,101.05,204.42,204.45,198.47,205.45
96,Brunei Darussalam,0.7,1.17,1.54,3.03,5.54,12.39,14.65,14.77,15.74,20.65,29.05,42.77,44.98,50.85,56.88,64.14,81.39,96.99,103.68,105.37,109.07,109.17,113.77
100,Bulgaria,0,0,0,0.01,0.08,0.25,0.32,0.85,1.56,4.34,9.22,19.5,32.91,44.65,60.72,80.69,107.33,129.54,137.38,138.61,136.1,140.68,145.73
854,Burkina Faso,0,0,0,0,0,0,0,0.01,0.02,0.04,0.21,0.6,0.85,1.78,2.87,4.46,6.95,12.34,19.49,23.92,34.66,45.27,57.07
108,Burundi,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.51,0.78,0.94,1.43,2.11,2.68,3.5,6.05,11.27,20.02,22.33,25.68
116,Cambodia,0,0,0,0.05,0.09,0.13,0.2,0.29,0.51,0.73,1.05,1.77,2.96,3.83,6.53,7.95,12.74,18.9,30.65,44.84,57.65,96.17,131.96
120,Cameroon,0,0,0,0,0.01,0.02,0.02,0.03,0.03,0.04,0.66,2.6,4.28,6.42,8.92,12.83,17.47,24.72,32.84,41.74,44.07,52.35,64.04
124,Canada,2.11,2.77,3.62,4.64,6.43,8.84,11.82,14.05,17.75,22.75,28.46,34.39,37.95,42.05,47.02,52.71,57.46,61.49,66.29,70.71,75.92,79.73,75.74
132,Cape Verde,0,0,0,0,0,0,0,0,0.24,1.88,4.51,7.08,9.49,11.6,14.09,17.28,22.76,31.51,56.97,59.11,74.97,79.19,84.16
136,Cayman Islands,0,2.04,3.44,4.19,5.77,7.73,,11.62,14.09,21.97,26.62,40,42.11,44,67.23,154.87,172.32,185.62,177.8,194.93,177.65,167.67,168.27
140,Central African Republic,0,0,0,0,0,0,0.03,0.04,0.05,0.11,0.13,0.29,0.33,1.03,1.52,2.49,2.69,4.81,5.9,20,22.25,22.12,23.39
148,Chad,0,0,0,0,0,0,0,0,0,0,0.07,0.26,0.39,0.71,1.3,2.15,4.62,8.85,15.02,20.86,25.61,31.8,35.49
152,Chile,0.11,0.27,0.47,0.61,0.82,1.37,2.18,2.76,6.41,14.84,22.06,32.69,39.56,45.54,57.41,64.84,75.6,83.9,88.1,97.02,116,129.71,138.5
156,China,0,0,0.02,0.05,0.13,0.3,0.56,1.07,1.91,3.44,6.72,11.33,16.02,20.87,25.74,30.09,35.07,41.42,48.28,55.97,64.04,73.19,81.26
344,"China, Hong Kong Special Administrative Region",2.31,3.24,3.95,4.87,8.02,12.99,21.73,34.76,48.36,63.88,80.31,84.59,93.55,107.72,120.66,125.47,138.21,156.44,167.19,180.27,195.57,214.72,227.93
446,"China, Macao Special Administrative Region",0.62,1.31,2.78,3.93,5.47,9.01,11.06,12.86,19.67,27.83,32.66,44.17,61.44,79.23,91.99,110.67,129.01,157.07,179.88,195.29,206.43,243.5,284.34
170,Colombia,0,0,0,0,0.24,0.75,1.41,3.35,4.68,5.03,5.68,8.08,11.19,14.82,24.54,50.77,68.11,76.53,91.91,92.35,96.07,98.45,103.19
174,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1.34,2.41,5.58,9.15,13.16,17.13,22.49,28.71,32.33
