CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,Afghanistan,0,,,,,,,,,,,0,0,0.09,0.11,1.22,2.11,1.9,1.84,3.55,4,5,5.45
8,Albania,0,,,,,0.01,0.03,0.05,0.07,0.08,0.11,0.33,0.39,0.97,2.42,6.04,9.61,15.04,23.86,41.2,45,49,54.66
12,Algeria,0,,,,0,0,0,0.01,0.02,0.2,0.49,0.65,1.59,2.2,4.63,5.84,7.38,9.45,10.18,11.23,12.5,14,15.23
16,American Samoa,0,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,0,,,,,,1.53,3.05,6.89,7.64,10.54,,11.26,13.55,26.84,37.61,48.94,70.87,70.04,78.53,81,81,86.43
24,Angola,0,,,,,,0,0.01,0.02,0.07,0.11,0.14,0.27,0.37,0.46,1.14,1.91,3.2,4.6,6,10,14.78,16.94
660,Anguilla,0,,,,,0.81,,,,,22.41,25.88,24.8,24.52,25.04,29,36,41,44,48,49.6,53.64,59.21
28,Antigua and Barbuda,0,,,,,2.2,2.86,3.48,4.07,5.3,6.48,8.9,12.5,17.23,24.27,34.72,62.64,70.06,75.03,74.2,80,82,83.79
32,Argentina,0,,0,0.03,0.04,0.09,0.14,0.28,0.83,3.28,7.04,9.78,10.88,11.91,16.04,17.72,20.93,25.95,28.11,34,45,51,55.8
51,Armenia,0,,,,0.01,0.05,0.09,0.11,0.13,0.97,1.3,1.63,1.96,4.58,4.9,5.25,5.63,6.02,6.21,15.3,25,32,39.16
533,Aruba,0,,,,,,2.77,,,4.51,15.44,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74
36,Australia,0.59,1.1,1.77,1.97,2.23,2.76,3.28,16.37,30.81,40.78,46.76,52.69,,,,63,66,69.45,71.67,74.25,76,79.5,82.35
40,Austria,0.13,0.26,0.64,0.77,1.39,1.89,6.91,9.53,15.42,23.04,33.73,39.19,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,79.8,81
31,Azerbaijan,0,,,,0,0,0.01,0.03,0.04,0.1,0.15,0.31,5,,,8.03,11.99,14.54,17.08,27.4,46,50,54.2
44,Bahamas,0,,,,,0.96,1.75,1.36,2.34,3.76,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.75
48,Bahrain,0,,,,,0.35,0.84,1.65,3.22,4.72,6.15,15.04,18.05,21.55,21.46,21.3,28.24,32.91,51.95,53,55,77,88
