CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
8,Albania,,,,,,,,0,,,,,0.1,,0.1,0.2,,,0.2,,,
12,Algeria,,,,,,1.4,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,29.9,,,,,,,,,16.5,,
32,Argentina,,0.2,1.1,1.2,1.4,2.2,2.8,2.2,2.1,2.4,2.8,4.6,5,4.6,2.9,2,1.7,1.5,1,1.2,0.7,
51,Armenia,,,,,,,4.7,,,4.1,,4.4,3.1,1.9,1.6,0.9,0.7,0.7,0.3,,0.5,
31,Azerbaijan,,,,,,4.3,,,,,,1.1,,,,,,,0.1,,,
50,Bangladesh,,,23.8,,,,19.9,,,,18.6,,,,,14.2,,,,,11.2,
112,Belarus,,,,0,,0.3,,,0.4,,0.1,0.2,0.3,,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
84,Belize,,,,4.9,5.2,5.4,4.6,6.9,4.7,5.5,,,,,,,,,,,,
204,Benin,,,,,,,,,,,,,,15.7,,,,,,,,
64,Bhutan,,,,,,,,,,,,,,7,,,,1.8,,,,
68,Bolivia,,0.7,,3.5,,,,9.1,,14.1,17.8,12.1,12.9,,,9.7,8.4,6.6,8.6,,,
70,Bosnia and Herzegovina,,,,,,,,,,,,0.1,,,0.1,,,0,,,,
72,Botswana,,,,,11,,,,,,,,,,,,,,,,,
76,Brazil,7.2,,8.5,8.1,,5.4,6.2,6.2,5.6,5.7,,6.3,5.5,5.9,5.1,4.6,4.1,4.2,3.4,3.6,,
100,Bulgaria,,,0,,0.2,0.6,,0.1,,,,0.5,,0,,,,0,,,,
854,Burkina Faso,,,,,34.7,,,,30.2,,,,,20.3,,,,,,14.7,,
108,Burundi,,,40.2,,,,,,47.3,,,,,,,,36.4,,,,,
116,Cambodia,,,,,12,,,,,,,,,,10.2,,,7.7,4.9,3.5,,
120,Cameroon,,,,,,,6.3,,,,,2.3,,,,,,1.2,,,,
132,Cape Verde,,,,,,,,,,,,,6.1,,,,,,,,,
140,Central African Republic,,,57.4,,,,,,,,,,,28.3,,,,,31.3,,,
148,Chad,,,,,,,,,,,,,,25.6,,,,,,,,
152,Chile,1.9,,1.1,,1.4,,0.9,,1,,0.9,,,0.8,,,0.5,,,0.7,,
156,China,20.7,,28.6,17.7,25.6,22.4,10.7,18.3,18.4,11.1,,,8.7,,,4,,,3.2,2.8,,
170,Colombia,,2.6,4,,,,7.6,,,9.5,11.5,10.9,11.2,10.9,10.1,6.3,5.4,4,5.8,4.7,3.8,
174,Comoros,,,,,,,,,,,,,,,20.8,,,,,,,
178,Congo,,,,,,,,,,,,,,,,22.8,,,,,,
188,Costa Rica,4.8,5,4.3,4.2,3.2,3.4,3.8,2.7,2.1,2.6,2.8,3.5,3.3,3.1,2.8,1.9,2,1.1,1.5,1.8,,
384,Cote d'Ivoire,,,,4,,4.8,,,6.7,,,,6.8,,,,,,7.5,,,
191,Croatia,,,,,,,,,0.1,0.2,0.1,0,,,0.1,,,,0.1,,,
203,Czech Republic,,,,0,,,0.1,,,,,,,,,,,,,,,
180,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,52.8,,,,,
262,Djibouti,,,,,,,,,,,,,5.3,,,,,,,,,
214,Dominican Republic,,,1.3,,,,1.7,1.9,,,1.7,1,1.9,2.2,2.5,2.1,1.2,1,0.8,0.7,0.5,
218,Ecuador,,,,,7.1,5.6,,,7.8,11.6,8.6,,,5.5,,4.1,2.5,3.3,3.1,2.9,2.1,
818,Egypt,,0.6,,,,,0.3,,,,0.3,,,,,0.4,,,0.4,,,
222,El Salvador,,8.8,,,,4.3,4.7,,9.8,7.9,,8.3,8.2,7.4,6.1,6.2,1.7,3,1.9,4.4,,
233,Estonia,,,,0.4,,0.1,,,0,,0.3,0.2,0.2,0,0.2,,,,,,,
231,Ethiopia,,,,,,21.2,,,,,16.2,,,,,9.6,,,,,,8.2
242,Fiji,,,,,,,,,,,,,,11.3,,,,,,1.1,,
266,Gabon,,,,,,,,,,,,,,,,0.9,,,,,,
270,Gambia,,,,,,,,,33.8,,,,,11.7,,,,,,,,
268,Georgia,,,,,,,0.8,5.3,1.8,6,6.5,6,4.6,5.4,,4.8,4.5,4.1,4.6,,5.8,
288,Ghana,,,18.3,,,,,,14.4,,,,,,,,9.9,,,,,
320,Guatemala,,,,,,,,,5.4,,4.6,,14.4,11.7,13.2,,4.7,,,,,
324,Guinea,,63.3,,,29.7,,,,,,,,,21.3,,,,15,,,,
624,Guinea-Bissau,,21.7,,20.6,,,,,,,,,16.6,,,,,,,,,
328,Guyana,,,,1.5,,,,,2.8,,,,,,,,,,,,,
332,Haiti,,,,,,,,,,,,32.3,,,,,,,,,,
340,Honduras,22.4,13.1,9.8,8.6,15.2,10.9,13.8,7.4,12.8,12.5,,8.1,14.7,12,11.4,13.3,10.8,6.5,11.8,9.4,,
348,Hungary,,,,0.2,,,,,0.1,0.1,0.1,0.1,0.1,,0.1,,,0.2,,,,
356,India,,,,,13.6,,,,,,,,,,,10.5,,,,,7.5,
360,Indonesia,15.6,,,15.7,,,11.4,,,12.5,,,6,,,4.6,6.7,5.2,4.7,4.1,3.3,
364,Iran (Islamic Republic of),1,,,,0.3,,,,0.2,,,,,,,0.3,,,,,,
368,Iraq,,,,,,,,,,,,,,,,,,0.4,,,,
388,Jamaica,0.1,,,1.7,,,0.5,,,0.3,,,0,,0,,,,,,,
400,Jordan,,,0.5,,,,,0.3,,,,,,0.2,,,0.1,,0,,0,
398,Kazakhstan,,,,0.5,,,0.9,,,,,3.7,0.9,0.5,0.3,,0.1,0.1,0,0,,
404,Kenya,,,15.4,,9.4,,,4.6,,,,,,,,16.9,,,,,,
417,Kyrgyzstan,,,,8.6,,,,,9,,,,8.8,,2.4,6.5,0.8,0.1,1.5,1.4,1.5,1.1
418,Lao People's Democratic Republic,,,16.2,,,,,14.9,,,,,12.1,,,,,,9,,,
428,Latvia,,,,0,,0,0,0,0,,,,0,0.2,0.2,,,0.2,0.1,0.1,,
426,Lesotho,,,,30.2,25.6,,,,,,,,,20.8,,,,,,,,
430,Liberia,,,,,,,,,,,,,,,,,,40.9,,,,
440,Lithuania,,,,0.1,,,0,,0.1,,0.1,0.2,0.2,,0.2,,,,0.1,,,
450,Madagascar,,,,34.8,,,,32.8,,44.3,,41.4,,,,26.5,,,,,43.3,
454,Malawi,,,,,,,,,46,,,,,,32.3,,,,,,26.2,
458,Malaysia,,,0.1,,,0.3,,0.1,,,,,,,0.1,,,0,,0,,
462,Maldives,,,,,,,,,,,,,,,0.1,,,,,,,
466,Mali,,,,,53.1,,,,,,,25.8,,,,,18.8,,,,16.4,
478,Mauritania,,,,14.4,,,7.1,,,,5.7,,,,7,,,,6.8,,,
484,Mexico,,,0.8,,0.5,,1.9,,2.2,,1.5,,0.8,,0.1,,0.1,,0.3,,0.2,
583,"Micronesia",,,,,,,,,,,16.3,,,,,,,,,,,
499,Montenegro,,,,,,,,,,,,,,,,0.1,0,0.1,0.1,,0,
504,Morocco,,0.4,,,,,,,,1.2,,0.9,,,,,,0.5,,,,
508,Mozambique,,,,,,,41.2,,,,,,,35.4,,,,,25.1,,,
516,Namibia,,,,24.6,,,,,,,,,,,9.5,,,,,,,
524,Nepal,,,,,,,25.6,,,,,,,18.4,,,,,,,5.6,
558,Nicaragua,,,,5.6,,,,,3.1,,,3.7,,,,2.4,,,,,,
562,Niger,,,29.7,,38.6,,,,,,,,,,,18.3,,,12.4,,,
566,Nigeria,,,31.1,,,,32.1,,,,,,,,28.7,,,,,,33.7,21.8
586,Pakistan,,23.2,,,,,,11.7,,6.3,,,7.9,,,4.4,4.1,,3.5,,,
591,Panama,,13.5,,,,10.7,,9,9.8,,,8.4,4.5,4.4,3.9,3.7,4.3,,,1.8,2.1,
598,Papua New Guinea,,,,,,,12.3,,,,,,,,,,,,,,,
600,Paraguay,0.3,,,,,4.8,,,6.2,6.5,,5.3,7.4,4.4,3.1,3,4.1,3.5,2.1,3.2,3,
604,Peru,,,,,3.3,,,0.2,5.7,6.2,4.6,5.3,4.4,2.9,2.1,2.5,2,2.4,1.8,1.6,1.3,
608,Philippines,,8.6,,,7.6,,,5.3,,,5.5,,,5.5,,,5.5,,,3.7,,
616,Poland,,,0,1.6,,,0.3,,0.1,0,0.1,0.1,0,,0,0,0,0,0,0,0,0
498,Republic of Moldova,,,4.5,,,,,4.2,8.7,12.9,,7.4,4.1,1.1,1.7,2.9,0.4,0.2,0.3,0.1,0.1,
642,Romania,,,0.3,,1.2,,,,0.5,,0.9,0.7,0.8,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.3,0.2
643,Russian Federation,,,,0.1,,,0.4,,,0.5,,0.2,0.1,0.1,0,0,0,0,0,0,,
646,Rwanda,,,,,,,,,,,36.9,,,,,,34.8,,,,,26.6
662,Saint Lucia,,,,,,7.2,,,,,,,,,,,,,,,,
678,Sao Tome and Principe,,,,,,,,,,,,7.9,,,,,,,,,,
686,Senegal,,34.3,,,19.2,,,,,,,14.3,,,,10.8,,,,,,9.1
688,Serbia,,,,,,,,,,,,,0.2,0.2,0.1,0,0.2,0.2,0.1,0.2,0.1,
690,Seychelles,,,,,,,,,,,0,,,,,,,0.1,,,,
694,Sierra Leone,44.8,,,,,,,,,,,,,20.3,,,,,,,,16.6
703,Slovakia,,,0,,,,0,,,,,,,,0.1,0.2,0.1,0.1,0.1,0.1,,
705,Slovenia,,,,0,,,,,0,,,,0.1,0,0.1,,,,,,,
710,South Africa,,,,6.9,,5.2,,,,,8.2,,,,,,3.3,,,2.3,,
144,Sri Lanka,,2.7,,,,,3,,,,,,2.6,,,,,1,,,0.7,
275,State of Palestine,,,,,,,,,,,,,,,,,,0.1,,0,,
736,Sudan (former),,,,,,,,,,,,,,,,,,,,5.5,,
740,Suriname,,,,,,,,,,5.9,,,,,,,,,,,,
748,Swaziland,,,,,,47.7,,,,,,29.4,,,,,,,,,16,
760,Syrian Arab Republic,,,,,,,,,,,,,,,0.2,,,,,,,
762,Tajikistan,,,,,,,,,,15.4,,,,10,4.8,,,4.4,,1.2,,
764,Thailand,2.4,,1.6,,0.7,,0.4,,0.3,0.5,0.5,,0.3,,,,0.2,,0,0.1,0,
807,The former Yugoslav Republic of Macedonia,,,,,,,,,0,,0.9,,0.2,0.1,0.1,0,0.2,,0,0,0,
768,Togo,,,,,,,,,,,,,,,,,11.4,,,,,8.8
780,Trinidad and Tobago,,,1.1,,,,,,,,,,,,,,,,,,,
788,Tunisia,1.4,,,,,1.3,,,,,0.5,,,,,0.3,,,,,0.4,
792,Turkey,,,,,0.5,,,,,,,,0.5,0.7,0.6,0.7,0.5,0.4,0,,0.5,
795,Turkmenistan,,,,25.8,,,,,7,,,,,,,,,,,,,
800,Uganda,,,30.3,,,,24.8,,,24.5,,,22.7,,,,19.1,,,12.2,,
804,Ukraine,,,0,,,0.6,0.6,,,0.5,,,0.2,0.1,0.1,0,0.1,0,0,0,0,
834,United Republic of Tanzania,,,29.7,,,,,,,,41.6,,,,,,,28.1,,,,
858,Uruguay,,,0.2,,,0.2,0.2,0.2,0.2,,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,
862,Venezuela,,,2.4,,,4,,,5,5.1,,4.4,7.7,9.4,8.2,8.2,3.7,,,,,
704,Viet Nam,,,,23.6,,,,,15.1,,,,11.2,,7.2,,5.3,,3.8,,,
887,Yemen,,,,,,,,,3,,,,,,,4.2,,,,,,
894,Zambia,,40,,35.6,,,29.5,,26.9,,,,,27.1,32.8,,37,,,,41.9,
